abounds	vimlar
fickle	ombytlig
fiction	fiktion
fictional	fiktiva
fictitious	fiktiv
fidgety	rastlös
fiend	djävul
fiendish	djävulsk
fierce	våldsam
figurehead	galjonsfigur
filth	smuts
filthy	snuskig
finagle	Finagle
finicky	petig
fissures	fissurer
fist	näve
flabbergasted	förbluffad
flagging	flaggning
flagrantly	uppenbart
flair	stil
flak	flaken
flake	flaga
flaking	flagning
flaky	fjällig
flare	blossa
flares	bloss
flaunt	pråla
flaw	fel
flawed	bristfällig
flaws	brister
flee	fly
fleeing	flyr
flees	flyr
fleeting	flyktig
flicker	flimmer
flickering	flimmer
flickers	flimrar
flimflam	LURENDREJERI
flimsy	tunn
flirt	flört
flirty	flörtig
floored	täckt
flounder	flundra
flout	trotsa
fluster	förvirra
foe	fiende
fool	lura
fooled	luras
foolhardy	dumdristig
foolish	dåraktig
foolishly	dåraktigt
foolishness	dåraktighet
forbid	förbjuda
forbidden	förbjuden
forbidding	förbjuder
forceful	kraftfull
foreboding	förebud
forfeit	förverka
forged	smidda
forgetful	glömsk
forgetfulness	glömska
forlorn	övergiven
forsake	överge
forsaken	övergiven
forswear	avsvärja
foully	OTÄCKT
foulness	VIDRIGHET
fractious	besvärliga
fracture	fraktur
fragile	ömtålig
fragmented	fragmenterad
frail	bräcklig
frantically	bläddrande
fraud	bedrägeri
fraudulent	bedräglig
fraught	fylld
freakish	underlig
freeze	frysa
freezes	fryser
freezing	frysning
frenetic	frenetisk
frenetically	frenetiskt
frenzied	frenetisk
frenzy	frenesi
fret	band
fretful	retlig
frets	band
friction	friktion
frictions	friktioner
fried	stekt
frigging	jävla
fright	skrämsel
frighten	skrämma
frightening	skrämmande
frighteningly	skrämmande
frightful	förskräcklig
frightfully	förskräckligt
frigid	kylig
frost	Frost
froze	frös
frozen	frysta
fruitless	fruktlös
frustrate	omintetgöra
frustrated	frustrerad
frustrates	omintetgör
frustrating	frustrerande
frustratingly	frustrerande
frustrations	frustration
fuck	knulla
fucking	jävla
fugitive	flykting
fulminate	DUNDRA
fumble	fumla
fume	rök
fumes	ånga
funky	stinkande
funny	rolig
furious	rasande
furiously	ursinnigt
fury	raseri
fuss	väsen
fussy	kinkig
fusty	unken
futile	meningslös
futility	meningslöshet
fuzzy	suddig
gabble	RABBLA
gaff	gaffel
gaffe	tabbe
gainsay	motsäga
gall	galla
galling	gallbildning
galls	gallbildningar
gape	gapa
garbage	sopor
garish	skrikig
gasp	flämtning
gauche	klumpig
gaudy	grann
gawky	tafatt
genocide	folkmord
ghetto	getto
ghosting	spökbilder
gibber	SLUDDER
gibberish	rotvälska
gibe	gliring
giddy	yr
gimmicks	jippon
glaringly	iögonfallande
glibly	lättvindigt
gloatingly	triumferande
gloom	dysterhet
gloomy	dyster
glum	dyster
gnawing	gnagande
goad	sporra
goofy	fånig
goon	Fortsätt
gossip	skvaller
graft	ympa
grainy	kornig
grapple	brottas
grate	galler
grating	galler
gravely	allvarligt
greasy	oljig
greed	girighet
greedy	girig
grief	sorg
grievance	klagomål
grievances	klagomål
grieve	sörja
grieving	sörjande
grievous	svår
grim	bister
grimace	grimas
grind	slipa
gripe	gnälla
gripes	gnäller
grisly	hemsk
gritty	grynig
gross	brutto
grossly	grovt
grotesque	grotesk
grouch	surpuppa
grouchy	vresig
groundless	grundlös
grouse	ripa
growl	morra
grudge	agg
grudges	agg
grudging	missunnsam
grudgingly	motvilligt
gruesome	hemsk
gruesomely	ruggigt
gruff	barsk
grumble	klaga
grumpy	vresig
guile	svek
guilt	skuld
guilty	skyldig
gullible	godtrogen
gutless	feg
gutter	ränna
hack	hacka
hacks	hacka
haggard	tärd
haggle	pruta
hairloss	håravfall
halfhearted	halvhjärtad
hallucinate	hallucinera
hamper	korg
hampered	hämmas
handicapped	handikappade
hang	hänga
hangs	hänger
haphazard	slumpmässig
hapless	olycklig
harangue	harang
harass	plåga
harassed	trakasserade
harasses	trakasserar
harassment	trakasserier
harboring	hysande
harbors	hamnar
hard	hård
hard-line	hårdföra
hard-liner	hård-liner
harden	härda
hardened	härdad
hardheaded	orubblig
hardhearted	hårdhjärtade
hardliners	hårdföra
hardship	strapats
hardships	svårigheter
harm	skada
harmed	skadad
harmful	skadlig
harms	skador
harpy	harpya
harrow	harv
harsh	hård
harshly	hårt
hasseling	hasse
hassle	krångel
hassles	krångel
haste	brådska
hastily	hastigt
hasty	förhastade
hate	hata
hated	hatade
hateful	förhatlig
hatefully	FÖRHATLIGT
hater	hatare
haters	hatare
hates	hat
hatred	hat
haughtily	högdraget
haughty	högdragen
haunt	förfölja
haunting	efterhängsen
havoc	kaos
hawkish	hökaktiga
hazard	fara
hazardous	farlig
haze	dis
hazy	dimmig
head-aches	huvud-värk
headache	huvudvärk
headaches	huvudvärk
heartbreaker	hjärtekrossare
heartbreaking	förkrossande
heartless	hjärtlös
heathen	hedning
heavy-handed	hårdhänta
heck	fan
heckle	häckla
hectic	hektisk
hedge	häck
hedonistic	hedonistiska
heedless	tanklös
hefty	rejäl
hegemonism	hegemoni
hegemonistic	hegemonistiska
hegemony	hegemoni
heinous	avskyvärd
hell	Helvete
hell-bent	botad
hells	helveten
helpless	hjälplös
helplessly	hjälplös
helplessness	hjälplöshet
heresy	kätteri
heretic	kättare
heretical	kättersk
hesitant	tveksam
hideous	otäck
hinder	hindra
hindrance	hinder
hiss	väsa
hissed	väste
hissing	väsande
hoard	förråd
hoax	bluff
hobble	stappla
hogs	svin
hollow	ihålig
hoodwink	lura
hooligan	ligist
hopeless	hopplös
hopelessly	hopplöst
hopelessness	hopplöshet
horde	hord
horrendous	fasansfulla
horrendously	oerhört
horrible	fruktansvärd
horrid	otäck
horrific	fruktansvärda
horrified	förfärade
horrify	skrämma
horrifying	skräckinjagande
hostage	gisslan
hostile	fientlig
hostilities	fientlighet
hostility	fientlighet
hotbeds	härdar
hothouse	drivhus
hubris	hybris
hum	brum
humid	fuktig
humiliate	förödmjuka
humiliating	förnedrande
humiliation	förnedring
humming	brummande
hung	hängd
hurt	ont
hurted	skadad
hurtful	sårande
hurting	skada
hypocrisy	hyckleri
hypocrite	hycklare
hypocrites	hycklare
hypocritical	hycklande
hypocritically	hycklande
hysteria	hysteri
hysteric	hysterisk
hysterical	hysterisk
hysterically	hysteriskt
hysterics	hysteri
idiocies	idiotier
idiocy	idioti
idiotic	idiotisk
idiotically	idiotiskt
idiots	idioter
ignoble	simpel
ignominy	vanära
ignorance	okunnighet
ignorant	okunnig
ignore	ignorera
ill-advised	oklokt
ill-fated	ödesdigra
ill-favored	OSKÖN
ill-formed	ill-bildade
ill-mannered	obelevad
ill-natured	HÄTSK
ill-sorted	ill-sorterat
ill-tempered	BITSK
ill-treated	misshandlas
ill-treatment	misshandel
ill-usage	ill-användning
illegal	olaglig
illegally	illegalt
illegitimate	illegitim
illicit	olaglig
illiterate	analfabet
illness	sjukdom
illogical	ologisk
illogically	ologiskt
illusions	illusioner
illusory	illusorisk
imaginary	imaginär
imbalance	obalans
imbecile	idiot
immaterial	immateriell
immature	omogen
immobilized	immobiliserat
immoderate	omåttlig
immodest	oblyg
immoral	omoralisk
immorality	omoral
immorally	sed
immovable	fast
impair	försämra
impaired	försämrad
impasse	dödläge
impatience	otålighet
impatient	otålig
impatiently	otåligt
impeach	anklaga
impedance	impedans
impede	hindra
impediment	hinder
impending	hotande
impenitent	obotfärdig
imperfect	ofullständig
imperfection	ofullkomlighet
imperfections	imperfektioner
imperfectly	ofullständigt
imperil	äventyra
imperious	befallande
imperiously	befallande
impermissible	otillåtlig
impersonal	opersonlig
impertinent	oförskämd
impetuous	häftig
impetuously	häftigt
impiety	ogudaktighet
impinge	inkräkta
impious	ogudaktig
implacable	oförsonlig
implausible	osannolik
implausibly	osannolikt
implication	inblandning
implode	implodera
impolite	oartig
impolitely	ohövligt
importunate	påträngande
importune	besvära
impose	förelägga
imposing	imponerande
imposition	utskjutning
impossible	omöjlig
impossibly	omöjligt
impoverish	utarma
impoverished	utfattig
impractical	opraktisk
imprecate	NEDKALLA
imprecise	oprecis
imprecisely	otydligt
imprison	fängsla
imprisonment	fängelse
improbability	osannolikhet
improbable	osannolik
improper	felaktig
improperly	otillbörligt
impropriety	oanständighet
imprudence	oförsiktighet
imprudent	oförsiktig
impudence	fräckhet
impudent	fräck
impudently	fräckt
impugn	ifrågasätta
impulsive	impulsiv
impulsively	impulsivt
impunity	straffrihet
impure	oren
impurity	förorening
inability	oförmåga
inaccuracies	felaktigheter
inaccuracy	felaktighet
inaccurate	felaktig
inaccurately	felaktigt
inaction	overksamhet
inactive	inaktiv
inadequacy	otillräcklighet
inadequate	otillräcklig
inadequately	otillräckligt
inadvisable	olämpligt
inane	fånig
inappropriate	olämplig
inappropriately	olämpligt
inapt	OSKICKLIG
inaptitude	OSKICKLIGHET
inarticulate	oartikulerad
inattentive	ouppmärksam
inaudible	ohörbar
incapable	oförmögen
incautious	oförsiktig
incendiary	upphetsande
incense	rökelse
incessant	oupphörlig
incessantly	oavbrutet
incite	hetsa
incitement	uppvigling
incivility	ohövlighet
inclement	bister
incognizant	OVETANDE
incoherent	osammanhängande
incoherently	osammanhängande
incommensurate	OJÄMFÖRBAR
incomparable	makalös
incomparably	ojämförligt
incompatability	inkompatibilitet
incompatibility	inkompatibilitet
incompatible	oförenlig
incompetence	inkompetens
incompetent	inkompetent
incompetently	inkompetent
incomplete	Ofullständig
incomprehensible	obegriplig
inconceivable	otänkbart
inconceivably	ofattbart
incongruous	motsägelsefull
inconsequent	inkonsekvent
inconsequential	obetydlig
inconsiderate	hänsynslöst
inconsistencies	inkonsekvenser
inconsistency	inkonsekvens
inconsistent	inkonsekvent
inconsolable	otröstlig
inconsolably	otröstligt
inconstant	föränderlig
inconvenience	besvär
inconveniently	ogenomlysligt
incorrect	felaktig
incorrectly	felaktigt
incorrigible	oförbätterlig
incorrigibly	oefterrättligt
incredulous	skeptisk
inculcate	inskärpa
indecency	oanständighet
indecent	oanständig
indecision	obeslutsamhet
indecisive	obeslutsam
indecorum	OTILLBÖRLIGHET
indefensible	oförsvarlig
indelicate	ogrannlaga
indeterminable	obestämbar
indeterminate	obestämd
indifference	likgiltighet
indifferent	likgiltig
indigent	utfattig
indignant	indignerad
indignantly	indignerat
indignity	skymf
indiscernible	urskiljbara
indiscreet	indiskret
indiscretion	indiskretion
indiscriminate	urskillningslös
indiscriminating	OKRITISK
indoctrinate	indoktrinera
indoctrination	indoktrinering
ineffective	ineffektiv
ineffectively	ineffektivt
ineffectiveness	ineffektivitet
ineffectual	verkningslös
ineffectually	ineffektivt
ineffectualness	verkningslöshetens
inefficacious	GAGNLÖS
inefficacy	ineffektivitet
inefficiency	ineffektivitet
inefficient	ineffektiv
inefficiently	ineffektivt
inelegant	klumpig
ineligible	berättigade
inept	olämplig
ineptitude	inkompetens
ineptly	oskickligt
inequalities	ojämlikhet
inequality	olikhet
inequitable	orättvis
inequitably	ojämnt
inescapable	ofrånkomlig
inescapably	oundvikligen
inessential	oväsentlig
inevitable	oundviklig
inevitably	oundvikligen
inexcusable	oursäktlig
inexcusably	olovligt
inexorable	obeveklig
inexorably	obevekligt
inexperience	oerfarenhet
inexperienced	oerfaren
inexpert	ovana
inextricable	ofrånkomlig
inextricably	oupplösligt
infamous	ökänd
infamy	vanära
infected	smittad
infection	infektion
infections	infektioner
inferior	sämre
inferiority	underlägsenhet
infernal	infernalisk
infest	hemsöka
infested	angripet
infidel	otrogen
infidels	otrogna
infiltrator	infiltratör
infiltrators	infiltratörer
infirm	handikappade
inflame	förvärra
inflammatory	inflammatorisk
inflated	uppblåst
inflationary	inflatorisk
inflexible	oböjlig
inflict	vålla
infraction	överträdelse
infringe	kränka
infringement	överträdelse
infringements	överträdelser
infuriating	upprörande
inglorious	skamlig
ingrate	otacksam
ingratitude	otack
inhibit	hämma
inhibition	hämning
inhospitable	ogästvänlig
inhospitality	ogästvänlighet
inhuman	omänsklig
inhumane	omänsklig
inhumanity	omänsklighet
inimical	fientlig
iniquitous	upprörande
iniquity	orätt
injudicious	omdömeslös
injure	skada
injurious	skadlig
injury	skada
injustice	orätt
injustices	orättvisor
innuendo	insinuation
inoperable	inoperabel
inopportune	oläglig
inordinate	omåttlig
inordinately	omåttligt
insane	sinnessjuk
insanely	galet
insanity	vansinne
insatiable	omättlig
insecure	osäker
insecurity	osäkerhet
insensible	okänslig
insensitive	okänslig
insensitivity	okänslighet
insidious	smygande
insidiously	försåtligt
insignificance	obetydlighet
insignificant	obetydlig
insignificantly	obetydligt
insincere	falsk
insincerity	falskhet
insinuate	insinuera
insinuating	insinuanta
insolence	fräckhet
insolent	oförskämd
insolently	fräckt
insouciance	likgiltighet
instability	instabilitet
instable	instabil
instigate	anstifta
instigator	anstiftare
instigators	anstiftare
insubordinate	uppstudsig
insubstantial	obetydlig
insufferable	olidlig
insufficiency	insufficiens
insufficient	otillräcklig
insufficiently	otillräckligt
insular	trångsynt
insult	förolämpning
insulted	förolämpade
insulting	kränkande
insultingly	förolämpande
insults	förolämpningar
insupportable	outhärdlig
insurmountable	oöverstiglig
insurrection	uppror
intense	intensiv
interference	interferens
interferes	stör
interrupt	avbryta
interruption	avbrott
interruptions	avbrott
intimidate	skrämma
intimidating	hotfull
intimidation	skrämsel
intolerable	outhärdlig
intolerance	intolerans
intoxicate	berusa
intractable	svårbehandlad
intransigent	oförsonlig
intrude	inkräkta
intrusion	intrång
intrusive	påträngande
inundate	dränka
inundated	svämmas
invader	inkräktare
invalid	ogiltig
invalidate	ogiltigförklara
invalidity	invaliditet
invasive	invasiv
invective	invektiv
inveigle	tubba
invidious	orättvis
invisible	osynlig
involuntarily	ofrivilligt
involuntary	oavsiktlig
irascible	hetlevrad
irate	ilsken
ire	vrede
irk	reta
irks	irriterar
irksome	irriterande
ironic	Ironisk
ironical	ironisk
ironically	ironiskt
irony	ironi
irrational	irrationell
irrationalities	irrationaliteter
irrationality	irrationella
irrationally	irrationellt
irreconcilable	oförenlig
irrecoverable	oindrivbara
irrecoverably	oåterkalleligen
irredeemable	oförbätterlig
irredeemably	ohjälpligt
irregular	oregelbunden
irregularity	oegentlighet
irrelevance	irrelevans
irreparable	irreparabel
irrepressible	okuvlig
irresolute	obeslutsam
irresolvable	olöslig
irresponsible	oansvarig
irresponsibly	oansvarigt
irretrievable	oersättlig
irreversible	irreversibel
irritable	irritabel
irritably	irriterat
irritant	irriterande
irritate	irritera
irritated	irriterad
irritating	irriterande
irritations	irritationer
isolate	isolera
isolated	isolerat
isolation	isolering
issue	problem
issues	frågor
itch	klia
itching	klåda
itchy	kliande
jabber	pladder
jaded	utsliten
jagged	ojämn
jam	sylt
jarring	skärande
jealous	svartsjuk
jealousy	svartsjuka
jeer	håna
jeering	hånfull
jeers	hån
jeopardize	äventyra
jeopardy	Jeopardy
jerk	rycka
jerky	ryckig
jitters	panik
jittery	skakis
jobless	arbetslös
joke	skämt
jolt	ryck
jumpy	nervös
junk	skräp
junkyard	skrotupplag
jutter	Jutter
kaput	kaputt
kill	döda
killed	dödade
killer	mördare
killing	dödande
kills	fiender
knave	knekt
knife	kniv
knock	slå
knotted	knölig
kooky	knasig
lack	brist
lackadaisical	nonchalant
lacked	saknade
lackey	lakej
lackeys	lakejer
lacking	saknas
lackluster	matt
lacks	saknar
laconic	lakonisk
lag	eftersläpning
lagged	släpat
lagging	eftersläpande
laggy	laggig
lags	eftersläpning
laid-off	uppsagd
lambaste	KLÅ
lame	lam
lame-duck	tandlös
lament	beklaga
lamentable	bedrövlig
lamentably	beklagligt
languid	matt
languish	tråna
languor	matthet
languorous	smäktande
lanky	gänglig
lapse	upphöra
lapsed	bortfallit
lapses	bortfaller
lascivious	vällustig
latency	latens
laughable	retande
laughingstock	åtlöje
lawbreaker	lagbrytare
lawbreaking	lagöverträdelser
lawless	laglös
lawlessness	laglöshet
layoff	permittering
layoff-happy	friställning-happy
lazy	lat
leak	läcka
leakage	läckage
leakages	läckage
leaking	läckande
leaks	läckor
leaky	läckande
lecherous	liderlig
lechery	liderlighet
leech	igel
left-leaning	vänster-lutande
lemon	citron-
lengthy	långvarig
lethal	dödlig
lethargic	slö
lethargy	letargi
lewd	oanständig
liability	ansvar
liable	ansvarig
liar	lögnare
licentious	utsvävande
licentiousness	tygellöshet
lie	lögn
lier	lögnare
lies	lögner
life-threatening	livshotande
lifeless	livlös
limit	begränsa
limitation	begränsning
limitations	begränsningar
limited	begränsad
limits	gränser
limp	halta
listless	håglös
litigious	stridslysten
livid	askgrå
loath	ovillig
loathe	avsky
loathing	avsky
loathsome	avskyvärd
lone	ensam
loneliness	ensamhet
lonely	ensam
loner	enstöring
lonesome	ensam
long-winded	långrandiga
longing	längtar
longingly	längtans
loophole	kryphål
loopholes	kryphål
loose	lösa
loot	plundra
lose	förlora
loser	förlorare
losers	förlorare
loses	förlorar
losing	förlorande
loss	förlust
losses	förluster
lost	förlorat
loud	högt
louder	högre
lousy	nedlusad
loveless	kärlekslös
low-rated	låg-rated
lowly	ringa
ludicrous	löjlig
ludicrously	löjligt
lugubrious	lugubra
lukewarm	ljummen
lull	stiltje
lumpy	klimpig
lunatic	galning
lurch	kränga
lure	locka
lurid	spöklik
lurking	lurar
lying	liggande
macabre	makaber
mad	galen
maddening	irriterande
madder	galnare
madman	galning
madness	galenskap
maladjusted	missanpassade
maladjustment	missanpassning
malady	sjukdom
malaise	obehag
malcontent	missnöjd
malevolence	illvilja
malevolent	illvillig
malevolently	illvilligt
malice	illvilja
malicious	illvillig
maliciously	uppsåt
malign	baktala
malignant	malign
malodorous	illaluktande
maltreatment	misshandel
mangle	mangel
mangled	manglas
mangles	manglar
mania	mani
maniac	galning
maniacal	maniskt
manic	manisk
manipulate	manipulera
manipulative	manipulativ
manipulators	manipulatorer
marginally	marginellt
martyrdom	martyrium
martyrdom-seeking	martyrium-söker
mashed	mosad
massacre	massaker
massacres	massakrer
matte	matt
meager	mager
meaningless	meningslös
meanness	elakhet
measly	ynklig
meddlesome	beskäftig
mediocre	medelmåttig
mediocrity	medelmåttighet
melancholy	melankoli
melodramatic	melodramatisk
meltdown	härdsmälta
menace	hot
menacing	hotfulla
mendacious	lögnaktig
mendacity	lögnaktighet
menial	simpel
merciless	skoningslös
mercilessly	obarmhärtigt
mess	röra
messed	trasslat
messes	mässar
messy	rörig
midget	dvärg
miff	BRÅK
militancy	stridbarhet
mindless	själlös
mindlessly	tanklöst
mirage	hägring
mire	myr
misalign	felinrikta
misaligned	felinriktad
misapprehend	MISSFÖRSTÅ
misbecome	MISSKLÄ
miscalculate	RÄKNA
miscalculation	felräkning
miscellaneous	diverse
mischief	rackartyg
mischievous	busig
mischievously	skälmskt
misconception	missuppfattning
misconceptions	missuppfattningar
miser	girigbuk
miserable	eländig
miserably	eländigt
miseries	elände
miserly	girig
misery	elände
misfit	missanpassad
misfortune	olycka
misgiving	farhåga
misgivings	tvivel
misguided	missriktade
mishandle	misshandla
mishap	missöde
misinform	vilseleda
misinformed	felunderrättad
misinterpret	misstolkar
misjudge	felbedöma
misjudgment	felbedömning
mislead	vilseleda
misleading	vilseledande
misleadingly	vilseledande
mismanage	missköta
misread	misstolkas
misreading	felläsning
misrepresent	förvränga
misrepresentation	förvrängning
miss	Fröken
missed	missade
misses	missar
misstatement	felaktigheter
mist	dimma
mistake	misstag
mistaken	felaktig
mistakes	misstag
mistress	husmor
mistrust	misstro
mistrustful	misstrogna
mistrustfully	misstänk
mists	dimmor
misunderstand	missförstå
misunderstanding	missförstånd
misunderstandings	missförstånd
misunderstood	missförstås
misuse	missbruka
moan	stöna
mobster	gangster
mock	falsk
mockeries	hån
mockery	hån
mocking	hånfull
mockingly	Mockingly
molest	antasta
molestation	ofredande
monotonous	monoton
monotony	monotoni
monstrosities	monstrositeter
monstrosity	monster
monstrous	monstruös
moody	lynnig
moot	omtvistad
mope	TJURA
morbid	sjuklig
mordant	bitande
moribund	döende
moron	dumhuvud
mortification	förödmjukelse
mortified	beskedet
mortify	späka
motionless	orörlig
motley	brokig
mourn	sörja
mourner	sörjande
mournful	sorgsen
muddle	virrvarr
muddy	grumlig
mudslinging	smutskastning
mulish	HALSSTARRIG
mundane	världslig
murder	mörda
murderer	mördare
murderous	mördande
murky	mulen
muscle-flexing	muskel-böjning
mushy	sörjig
musty	unken
mysterious	mystisk
mysteriously	mystiskt
mystery	mysterium
mystify	mystifiera
myth	myt
nagging	tjatar
naive	naiv
naively	naivt
narrower	smalare
nasty	otäck
naughty	stygg
nauseate	äckla
nauseating	kväljande
naïve	naiv
nebulous	oklar
needless	onödigt
needlessly	onödigt
needy	behövande
nefarious	skändlig
negate	förneka
negative	negativ
negatives	negativ
negativity	negativitet
neglect	försummelse
neglected	försummad
negligence	oaktsamhet
negligent	försumlig
nervous	nervös
nervously	nervöst
nervousness	nervositet
nettle	nässla
neurotic	neurotisk
niggle	knåpa
nightmare	mardröm
nightmarishly	mardrömslikt
noise	ljud
noises	ljud
noisier	bullrigare
noisy	högljudd
non-confidence	icke-förtroende
nonexistent	obefintlig
nonresponsive	Icke-mottagande
nonsense	dumheter
nosey	nyfiken
notoriety	ökändhet
notorious	ökänd
notoriously	ökänt
noxious	skadlig
nuisance	obehag
numb	stel
obese	fet
object	objekt
objection	invändning
objectionable	stötande
objections	invändningar
oblique	sned
obliterate	utplåna
obliterated	utplånas
oblivious	omedveten
obnoxious	motbjudande
obscene	obscen
obscenely	oanständigt
obscenity	obscenitet
obscure	skymma
obscured	skyms
obscures	fördunklar
obscurity	dunkel
obsess	hemsöka
obsessive	obsessiv
obsessively	tvångsmässigt
obsessiveness	besatthet
obsolete	föråldrad
obstacle	hinder
obstinate	envis
obstinately	envist
obstruct	hindra
obstructed	hindras
obstructing	hindrande
obstruction	hinder
obstructs	hindrar
obtrusive	påfallande
obtuse	trubbig
occluded	ockluderade
occludes	ockluderar
occluding	ockluderande
odd	udda
oddity	underlighet
oddly	underligt
odor	odör
offence	anfall
offend	förolämpa
offender	lagbrytare
offending	felande
offenses	brott
offensive	offensiv
officious	beskäftig
ominous	olycksbådande
omission	underlåtenhet
omit	utelämna
one-sided	ensidig
onerous	betungande
onslaught	angrepp
opinionated	påstridig
opponent	motståndare
opportunistic	opportunistisk
oppose	motsätta
oppositions	invändningar
oppress	förtrycka
oppression	förtryck
oppressive	förtryckande
oppressively	damages
oppressiveness	instängdhet
oppressors	förtryck
ordeal	prövning
orphan	föräldralös
outbreak	utbrott
outburst	utbrott
outbursts	utbrott
outcast	utstött
outcry	skrik
outlaw	fredlös
outmoded	omodern
outrage	upprördhet
outraged	upprörda
outrageous	skandalös
outrages	övergrepp
outsider	utomstående
over-acted	over-handlat
over-balanced	over-viktad
over-hyped	över-hyped
over-valuation	övervärdering
overbalance	överbalans
overbalanced	överbalanserad
overbearing	högdragen
overblown	uppblåst
overdo	driv~~POS=HEADCOMP
overdue	försenad
overemphasize	betona
overheat	överhettas
overloaded	överbelastad
overlook	förbise
overpaid	överbetalda
overplay	överspela
overpower	manna
overrated	överskattade
overrun	överskridande
overshadow	överskugga
oversight	tillsyn
oversights	förbiseenden
oversimplified	förenklad
oversimplify	förenkling
overstate	överdriva
overstated	överskattas
overstatement	överdrift
overstatements	övervärderingar
overstates	överdriver
overthrow	störta
overthrows	överhäng
overturn	stjälpa
overweight	övervikt
overwhelm	överösa
overwhelmed	överväldigad
overwhelming	överväldigande
overwhelmingly	överväldigande
overwhelms	överväldigar
overzealous	nitiska
pain	smärta
painful	smärtsam
painfull	pain
painfully	plågsamt
pains	möda
pale	blek
paltry	ynklig
pan	panorera
panic	panik
panicked	panik
panicking	panik
paradoxical	paradoxal
paradoxically	paradoxalt
paralyzed	lam
parasite	parasit
pariah	paria
parody	parodi
partiality	partiskhet
partisans	partisaner
passive	passiv
passiveness	passivitet
pathetic	patetisk
pathetically	patetiskt
patronize	förmyndare
paucity	brist
pauper	fattighjon
payback	hämnd
peculiar	egendomlig
peculiarly	besynnerligt
pedantic	pedantisk
peeled	skalad
peevish	vresig
peevishly	vresigt
penalize	straffa
penalty	straff
perfunctory	summarisk
peril	fara
perilous	farlig
perish	förgås
pernicious	skadlig
perplex	förbrylla
perplexed	förvirrad
perplexing	förbryllande
perplexity	bryderi
persecute	förfölja
persecution	förföljelse
pertinacious	HALSSTARRIG
pertinacity	envishet
perturb	störa
pervasive	genomträngande
perverse	pervers
perversion	förvrängning
perversity	vrånghet
pervert	pervers
perverted	pervers
pessimistic	pessimistisk
pessimistically	pessimistiskt
pest	skadedjur
pestilent	Pestilent
petrified	förstenad
petrify	förstena
petty	ringa
phobia	fobi
phobic	fobiska
phony	falska
picket	postering
picketed	strejkvakt
picketing	strejkvakt
picky	petig
pig	gris
pigs	grisar
pillage	plundring
pillory	skampåle
pimple	finne
pinch	nypa
pique	såra
pitiable	ynklig
pitiful	ynklig
pitiless	skoningslös
pitilessly	skoningslöst
pity	medlidande
plagiarize	plagiera
plague	plåga
plaything	leksak
plea	grunden
pleas	grunder
plebeian	plebejisk
plot	komplott
plotters	konspiratörer
ploy	trick
plunder	plundra
pointless	meningslös
pointlessly	onödigt
poison	förgifta
poisonous	giftig
polarisation	polarisering
pollute	förorena
polluter	förorenaren
polluters	förorenare
polution	förorening
pompous	pompös
poor	fattig
poorer	sämre
poorest	fattigaste
poorly	dåligt
posturing	poser
poverty	fattigdom
powerless	maktlös
prate	BABBLA
prattle	pladder
precarious	osäker
precariously	betänkligt
precipitate	fällning
precipitous	brant
predicament	predika
prejudge	griper
prejudice	fördomar
prejudices	fördomar
prejudicial	skadlig
premeditated	uppsåtlig
preoccupy	sysselsätta
preposterous	orimlig
presumptuous	förmäten
pretence	anspråk
pretend	låtsas
pretense	anspråk
pretentious	pretentiös
prevaricate	slingra
pricey	dyr
prick	sticka
prickle	tagg
prickles	taggar
primitive	primitiv
prison	fängelse
prisoner	fånge
problematic	problematisk
problems	problem
procrastinate	förhala
procrastination	uppskjutande
profane	vanhelga
profanity	hädelser
prohibit	förbjuda
prohibitive	hindrande
prohibitively	oöverkomligt
proprietary	Proprietär
prosecute	åtala
protested	protest
protesting	protesterar
protests	protester
protracted	utdragen
provocation	provokation
provocative	provokativ
provoke	provocera
pry	bända
pugnacity	stridslystnad
punch	stansa
punish	straffa
punishable	straffbar
punitive	straff-
punk	punk-
puppet	marionett
puppets	dockor
puzzled	förbryllad
puzzlement	förvirring
puzzling	förbryllande
quack	kvacksalvare
qualms	samvetskval
quandary	dilemma
quarrel	gräl
quarrels	bråk
quash	krossa
questionable	tveksamt
quibble	käbbla
quibbles	juristeri
quitter	smitare
rabid	fanatisk
racism	rasism
racist	rasist
racists	rasister
radical	radikal
radicalization	radikalisering
radically	radikalt
radicals	radikaler
rage	rasa
ragged	ojämn
raging	rasande
rail	järnväg
rampage	framfart
rampant	skenande
ramshackle	skranglig
rancor	agg
randomly	slumpvis
rant	utläggning
rants	gormanden
rape	våldta
raped	våldtagen
raping	våldta
rascal	skojare
rash	utslag
rattle	skallra
rattles	skallror
ravage	härja
raving	yra
reactionary	reaktionär
rebellious	upprorisk
rebuff	avvisa
rebuke	tillrätta
recalcitrant	motsträvig
recession	lågkonjunktur
reckless	hänsynslös
recklessly	vårdslöst
recklessness	övermod
recoil	rekyl
recourses	resurser
redundancy	redundans
redundant	överflödig
refusal	vägran
refuse	vägra
refused	vägrade
refuses	vägrar
refusing	vägrar
refutation	vederläggning
refute	vederlägga
refuted	motbevisade
refutes	vederlägger
refuting	bemötande
regressive	regressiv
regret	ångra
regretful	beklagande
regretfully	tyvärr
regrets	beklagar
regrettable	beklaglig
regrettably	tyvärr
regretted	beklagade
reject	avvisa
rejected	avvisade
rejecting	förkasta
rejection	avslag
rejects	avvisar
relapse	återfall
relentless	obeveklig
relentlessly	obevekligt
