abound	abbondare
excuse	scusa
excuses	scuse
execrate	esecrare
exhaust	scarico
exhausted	esausto
exhaustion	esaurimento
exhausts	SCARICHI
exhort	esortare
exile	esilio
exorbitant	esorbitante
expel	espellere
expensive	costoso
expire	scadere
expired	scaduto
explode	esplodere
exploit	sfruttare
exploitation	sfruttamento
explosive	esplosivo
expropriate	espropriare
expropriation	espropriazione
expunge	espungere
exterminate	sterminare
extermination	sterminio
extinguish	spegnere
extort	estorcere
extortion	estorsione
extraneous	estraneo
extravagant	stravagante
extravagantly	stravagante
extremism	estremismo
extremist	estremista
extremists	estremisti
eyesore	obbrobrio
fabricate	fabbricare
fabrication	costruzione
facetious	faceto
facetiously	scherzosamente
fail	fallire
failed	mancato
failure	fallimento
failures	fallimenti
faint	svenire
faithless	sleale
fake	falso
fall	autunno
fallacies	fallacie
fallacious	fallace
fallaciously	fallace
fallaciousness	fallacia
fallacy	fallacia
fallen	caduto
falling	caduta
fallout	cadere
falls	cascate
false	falso
falsehood	falsità
falsely	falsamente
falsify	falsificare
falter	vacillare
faltered	vacillato
famine	carestia
famished	affamato
fanatic	fanatico
fanatical	fanatico
fanatically	fanaticamente
fanaticism	fanatismo
fanatics	fanatici
fanciful	fantasioso
far-fetched	forzato
farce	farsa
farcical	farsesco
farcical-yet-provocative	farsesca-ancora-provocatorio
farfetched	inverosimile
fascism	fascismo
fascist	fascista
fastidious	fastidioso
fastidiously	fastidiosamente
fastuous	fastoso
fat	Grasso
fatal	fatale
fatalistic	fatalista
fatalistically	fatalisticamente
fatally	fatalmente
fateful	fatidico
fatefully	fatalmente
fathomless	incommensurabile
fatigue	fatica
fatigued	lasso
fatique	fatica
fatty	Grasso
fatuity	fatuità
fatuous	fatuo
fault	colpa
faults	difetti
faulty	difettoso
faze	sconcertare
fear	paura
fearful	pauroso
fears	paure
fearsome	terribile
feckless	inefficiente
feeble	debole
feign	fingere
feint	finta
fell	abbattere
felon	fellone
felonious	criminale
ferociously	ferocemente
ferocity	ferocia
fetid	fetido
fever	febbre
feverish	febbrile
fevers	febbri
fib	frottola
fickle	volubile
fiction	finzione
fictional	immaginario
fictitious	fittizio
fidget	agitarsi
fidgety	irrequieto
fiend	demone
fiendish	demoniaco
fierce	feroce
figurehead	polena
filth	sporcizia
filthy	sporco
finagle	Finagle
finicky	pignolo
fissures	fessure
fist	pugno
flabbergast	sbalordire
flabbergasted	sbalordito
flagging	segnalazione
flagrant	flagrante
flagrantly	flagrante
flair	fiuto
flak	Flak
flake	fiocco
flaking	desquamazione
flare	bagliore
flares	razzi
flaunt	ostentare
flaw	difetto
flawed	imperfetto
flaws	difetti
flee	fuggire
fleed	Fleed
flees	fugge
fleeting	fugace
flicker	barlume
flickering	tremolante
flickers	sfarfallio
flighty	capriccioso
flimsy	fragile
flirt	flirtare
flirty	provocante
floored	pavimentato
flounder	platessa
floundering	dibatte
flout	disprezzare
fluster	agitazione
foe	nemico
fool	scemo
fooled	ingannare
foolhardy	avventato
foolish	folle
foolishly	follemente
foolishness	sciocchezza
forbid	vietare
forbidden	proibito
forbidding	ostile
forceful	forte
foreboding	presentimento
forfeit	pegno
forged	forgiato
forgetful	dimentico
forgetfulness	dimenticanza
forlorn	abbandonato
forsake	abbandonare
forsaken	abbandonato
forswear	rinnegare
foul	fallo
foully	vergognosamente
foulness	sporcizia
fractious	litigioso
fracture	frattura
fragmented	frammentato
frail	fragile
frantic	frenetico
frantically	freneticamente
fraud	frode
fraudulent	fraudolento
fraught	gravido
frazzle	logorare
frazzled	esausto
freak	mostro
freaking	impazzendo
freakish	bizzarro
freaks	freak
freeze	congelare
freezing	congelamento
frenetic	forsennato
frenetically	freneticamente
frenzied	frenetico
frenzy	frenesia
fret	greca
fretful	irritabile
frets	tasti
friction	attrito
frictions	frizioni
fried	fritte
fright	paura
frighten	impaurire
frightening	spaventoso
frighteningly	spaventosamente
frightful	spaventevole
frightfully	spaventosamente
frigid	frigido
frost	brina
frown	cipiglio
froze	congelato
frozen	congelato
fruitless	infruttuoso
fruitlessly	infruttuosamente
frustrate	frustrare
frustrated	frustrato
frustrates	frustate
frustrating	frustrante
frustratingly	frustrante
frustration	frustrazione
frustrations	frustrazioni
fuck	Fanculo
fucking	cazzo
fugitive	fuggitivo
fulminate	fulminare
fumble	armeggiare
fume	fumo
fumes	vapore
fundamentalism	fondamentalismo
funky	impaurito
funnily	comicamente
funny	divertente
furious	furioso
furiously	furiosamente
furor	furore
fury	furia
fuss	confusione
fussy	schizzinoso
fusty	ammuffito
futilely	inutilmente
futility	futilità
fuzzy	sfocato
gabble	borbottio
gaff	rampone
gainsay	contraddire
gall	fiele
galling	irritante
galls	galle
garbage	spazzatura
garish	vistoso
gasp	respiro
gauche	maldestro
gaudy	sgargiante
gawky	goffo
genocide	genocidio
ghastly	orribile
gibber	borbottio
gibberish	borbottio
gibe	frecciata
giddy	stordito
gimmick	trovata
gimmicks	espedienti
gimmicky	ingannevole
glare	bagliore
glaringly	vistosamente
glib	facondo
glitches	glitch
gloom	oscurità
gloomy	cupo
glum	accigliato
glut	eccesso
gnawing	rodente
goad	pungolo
goof	cantonata
goofy	Sciocco
gossip	pettegolezzo
graft	innestare
grainy	granuloso
grapple	rampino
grate	grattugiare
grating	grata
gravely	gravemente
greasy	unto
greed	avidità
greedy	avido
grief	dolore
grievance	reclamo
grievances	rimostranze
grieve	addolorarsi
grieving	lutto
grievous	grave
grim	truce
grimace	smorfia
grind	macinare
gripe	lamentela
gripes	lamentele
grisly	macabro
gritty	grintoso
gross	schifoso
grossly	grossolanamente
grotesque	grottesco
grouch	malumore
grouchy	brontolone
groundless	infondato
growl	ringhiare
grudge	astio
grudges	rancori
grudging	invidioso
gruesome	macabro
gruff	burbero
grumble	brontolare
grumpy	scontroso
guile	astuzia
guilt	colpa
guiltily	colpevolmente
guilty	colpevole
gullible	ingenuo
gutless	codardo
gutter	grondaia
hack	mod
hacks	hack
haggard	sparuto
haggle	mercanteggiare
halfhearted	svogliato
halfheartedly	malavoglia
hallucination	allucinazione
hamper	ostacolare
hampered	ostacolato
hang	appendere
hapless	sfortunato
harangue	arringa
harass	molestare
harassed	molestati
harasses	molesti
harassment	molestia
harboring	l'ospitare
harbors	porti
hard	difficile
harden	indurire
hardened	indurito
hardship	disagio
hardships	disagi
harm	danno
harmed	offeso
harmful	dannoso
harms	Harms
harpy	arpia
harridan	strega
harried	tormentato
harrow	erpice
harsh	duro
harshly	duramente
hassle	problemi
hassles	fastidi
haste	fretta
hastily	frettolosamente
hasty	frettoloso
hate	odiare
hated	odiato
hateful	odioso
hatefully	odiosamente
haters	odiatori
hates	odia
hating	odiare
hatred	odio
haughtily	altezzosamente
haughty	altezzoso
haunt	infestare
haunting	ossessionante
havoc	devastazione
haywire	confuso
hazard	rischio
hazardous	pericoloso
haze	foschia
hazy	nebbioso
head-aches	testa-mal
heartbreaker	strage
heartbreaking	straziante
heathen	pagano
heavy-handed	maldestro
heck	diamine
heckle	molestare
hectic	febbrile
hedge	siepe
hedonistic	edonistico
heedless	disattento
hefty	forte
hegemonism	egemonismo
hegemonistic	egemonica
hegemony	egemonia
heinous	atroce
hell	inferno
hell-bent	decisa
hells	inferni
helpless	indifeso
helplessly	impotente
helplessness	impotenza
heresy	eresia
heretic	eretico
heretical	eretico
hesitant	esitante
hideous	orrendo
hideously	orribilmente
hideousness	mostruosità
high-priced	costoso
hinder	ostacolare
hindrance	ostacolo
hiss	sibilo
hissed	sibilò
hissing	sibilo
hoard	tesoro
hoax	inganno
hobble	zoppicare
hogs	maiali
hollow	cavo
hoodwink	ingannare
hooligan	teppista
hopelessly	perdutamente
horde	orda
horrendous	orrendo
horrendously	orrendamente
horrible	orribile
horrid	orrido
horrific	orribile
horrified	inorridito
horrifies	inorridire
horrify	inorridire
horrifying	orripilante
hostage	ostaggio
hostile	ostile
hostilities	ostilità
hostility	ostilità
hotbeds	focolai
hothouse	serra
hubris	tracotanza
hum	ronzio
humid	umido
humiliate	umiliare
humiliating	umiliante
humiliation	umiliazione
humming	ronzio
hung	sospeso
hurt	male
hurted	ferito
hurtful	dannoso
hurting	male
hustler	Hustler
hype	montatura
hypocricy	ipocrisia
hypocrisy	ipocrisia
hypocrite	ipocrita
hypocrites	ipocriti
hypocritical	ipocrita
hypocritically	ipocritamente
hysteria	isterismo
hysteric	isterico
hysterical	isterico
idiocies	idiozie
idiocy	idiozia
idiot	idiota
idiotic	idiota
idiots	idioti
idle	inattivo
ignoble	ignobile
ignominious	ignominioso
ignominiously	ignominiosamente
ignominy	ignominia
ignorance	ignoranza
ignorant	ignorante
ignore	ignorare
ill-advised	sconsiderato
ill-fated	sfortunato
ill-favored	sgraziato
ill-mannered	maleducato
ill-natured	cattivo
ill-sorted	ill-ordinato
ill-treated	maltrattati
ill-treatment	maltrattamenti
ill-usage	maltrattamenti
illegal	illegale
illegally	abusivamente
illegitimate	illegittimo
illicit	illecito
illiterate	analfabeta
illness	malattia
illogic	illogicità
illogical	illogico
illogically	illogicamente
illusion	illusione
illusions	illusioni
illusory	illusorio
imaginary	immaginario
imbalance	squilibrio
imbecile	imbecille
immaterial	immateriale
immature	immaturo
imminence	imminenza
imminently	imminente
immobilized	immobilizzato
immoderate	smodato
immodest	immodesto
immoral	immorale
immorality	immoralità
immovable	immobile
impair	danneggiare
impaired	alterata
impatience	impazienza
impatient	impaziente
impatiently	impazientemente
impeach	accusare
impedance	impedenza
impede	impedire
impediment	impedimento
impending	imminente
impenitent	impenitente
imperfect	imperfetto
imperfection	imperfezione
imperfections	imperfezioni
imperfectly	imperfetto
imperialist	imperialista
imperious	imperioso
imperiously	imperiosamente
impermissible	inammissibile
impersonal	impersonale
impertinent	impertinente
impetuous	impetuoso
impetuously	impetuosamente
impiety	empietà
impinge	violare
impious	empio
implacable	implacabile
implicate	implicare
implication	coinvolgimento
implode	implodere
impolite	scortese
impolitic	impolitico
importunate	importuno
importune	importunare
impose	imporre
imposing	imponente
imposition	imposizione
impossible	impossibile
impossibly	impossibile
impotent	impotente
impoverish	impoverire
impoverished	impoverito
imprecate	imprecare
imprecise	approssimativo
imprecisely	impreciso
imprecision	imprecisione
imprison	imprigionare
imprisonment	reclusione
improbability	improbabilità
improbable	improbabile
improbably	inverosimilmente
improper	improprio
impropriety	scorrettezza
imprudence	imprudenza
imprudent	imprudente
impudence	impudenza
impudent	impudente
impudently	sfacciatamente
impugn	impugnare
impulsive	impulsivo
impulsively	impulsivamente
impunity	impunità
impure	impuro
impurity	impurità
inability	incapacità
inaccuracies	inesattezze
inaccuracy	inesattezza
inaccurate	impreciso
inaccurately	impreciso
inaction	inattività
inactive	inattivo
inadequacy	inadeguatezza
inadequate	insufficiente
inadequately	inadeguatamente
inadvisable	sconsigliabile
inane	vacuo
inappropriately	impropriamente
inapt	inadatto
inarticulate	inarticolato
inattentive	disattento
inaudible	impercettibile
incapable	incapace
incautious	incauto
incendiary	incendiario
incense	incenso
incessant	incessante
incessantly	incessantemente
incite	incitare
incitement	incitamento
incivility	inciviltà
inclement	inclemente
incognizant	inconsapevole
incoherence	incoerenza
incoherent	incoerente
incoherently	incoerentemente
incommensurate	sproporzionato
incomparable	incomparabile
incomparably	incomparabilmente
incompatability	incompatibilità
incompatibility	incompatibilità
incompatible	incompatibile
incompetence	incompetenza
incompetent	incompetente
incompetently	incompetente
incomplete	incompleto
incompliant	inadempiente
incomprehensible	incomprensibile
incomprehension	incomprensione
inconceivable	inconcepibile
inconceivably	inconcepibilmente
incongruous	incongruo
inconsequent	inconseguente
inconsequential	inconseguente
inconsiderate	sconsiderato
inconsiderately	sconsiderato
inconsistence	inconsistenza
inconsistencies	incongruenze
inconsistency	incoerenza
inconsistent	incoerente
inconsolable	inconsolabile
inconsolably	inconsolabile
inconstant	incostante
inconvenience	disagio
incorrect	scorretto
incorrigible	incorreggibile
incorrigibly	incorreggibilmente
incredulous	incredulo
incredulously	Incredibilmente
inculcate	inculcare
indecency	indecenza
indecent	indecente
indecently	indecentemente
indecision	indecisione
indecisive	indeciso
indefensible	indifendibile
indelicate	indelicato
indeterminable	indeterminabile
indeterminate	indeterminato
indifference	indifferenza
indifferent	indifferente
indigent	indigente
indignant	indignato
indignantly	indignato
indignation	indignazione
indignity	indegnità
indiscernible	indiscernibile
indiscreet	indiscreto
indiscreetly	indiscretamente
indiscretion	indiscrezione
indiscriminate	indiscriminato
indiscriminately	indiscriminatamente
indiscriminating	indiscriminato
indistinguishable	indistinguibile
indoctrinate	indottrinare
indoctrination	indottrinamento
indolent	indolente
indulge	indulgere
ineffective	inefficace
ineffectively	inefficace
ineffectiveness	inefficacia
ineffectual	inefficace
ineffectually	inutilmente
ineffectualness	inefficacia
inefficacious	inefficace
inefficacy	inefficacia
inefficiency	inefficienza
inefficient	inefficiente
inefficiently	inefficiente
inelegance	ineleganza
inelegant	inelegante
ineligible	ineleggibile
inept	inetto
ineptitude	inettitudine
inequalities	disuguaglianze
inequality	disuguaglianza
inequitably	iniquo
inequities	disuguaglianze
inescapable	inevitabile
inescapably	ineluttabilmente
inevitable	inevitabile
inevitably	inevitabilmente
inexcusable	imperdonabile
inexcusably	imperdonabilmente
inexorable	inesorabile
inexorably	inesorabilmente
inexperience	inesperienza
inexperienced	inesperto
inexpert	inesperto
inexpertly	maldestramente
inexpiable	inespiabile
inexplainable	inspiegabili
inextricable	inestricabile
inextricably	inestricabilmente
infamous	infame
infamy	infamia
infected	infetto
infection	infezione
infections	infezioni
inferior	inferiore
inferiority	inferiorità
infernal	infernale
infest	infestare
infested	infestato
infidel	infedele
infidels	infedeli
infiltrator	infiltrato
infiltrators	infiltrati
infirm	infermo
inflame	infiammare
inflammation	infiammazione
inflammatory	infiammatorio
inflammed	infiammata
inflated	gonfio
inflationary	inflazionistico
inflexible	inflessibile
inflict	infliggere
infraction	infrazione
infringe	violare
infringement	violazione
infringements	violazioni
infuriated	infuriato
infuriating	esasperante
inglorious	inglorioso
ingrate	ingrato
ingratitude	ingratitudine
inhibit	inibire
inhibition	inibizione
inhospitable	inospitale
inhospitality	inospitalità
inhuman	inumano
inhumane	inumano
inhumanity	inumanità
inimical	ostile
iniquitous	iniquo
iniquity	iniquità
injure	ferire
injurious	dannoso
injury	ferita
injustice	ingiustizia
injustices	ingiustizie
innuendo	insinuazione
inoperable	inoperabile
inopportune	inopportuno
inordinate	smodato
inordinately	disordinatamente
insane	folle
insanely	follemente
insanity	follia
insatiable	insaziabile
insecure	insicuro
insecurity	insicurezza
insensible	insensibile
insensitive	insensibile
insensitivity	insensibilità
insidious	insidioso
insidiously	insidiosamente
insignificance	piccolezza
insignificant	insignificante
insignificantly	insignificante
insincere	insincero
insincerity	insincerità
insinuate	insinuare
insinuating	insinuante
insinuation	insinuazione
insolence	insolenza
insolent	insolente
insolently	insolentemente
insolvent	insolvente
instability	instabilità
instable	instabile
instigate	istigare
instigator	istigatore
instigators	istigatori
insubordinate	insubordinato
insubstantial	inconsistente
insufferable	insopportabile
insufferably	insopportabilmente
insufficiency	insufficienza
insufficient	insufficiente
insufficiently	insufficientemente
insular	insulare
insult	insulto
insulted	offeso
insulting	offensivo
insultingly	offensivamente
insults	insulti
insupportable	insopportabile
insupportably	insopportabilmente
insurmountable	insormontabile
insurmountably	insormontabile
insurrection	insurrezione
intense	intenso
interfere	interferire
interference	interferenza
interferes	interferisce
intermittent	intermittente
interrupt	interrompere
interruption	interruzione
interruptions	interruzioni
intimidate	intimidire
intimidating	intimidatorio
intimidation	intimidazione
intolerable	intollerabile
intolerance	intolleranza
intoxicate	inebriare
intractable	intrattabile
intransigence	intransigenza
intransigent	intransigente
intrude	intromettersi
intrusion	intrusione
intrusive	invadente
inundate	inondare
inundated	inondato
invader	invasore
invalidate	infirmare
invalidity	invalidità
invasive	dilagante
invective	invettiva
inveigle	adescare
invidious	spiacevole
invidiously	invidiosamente
invisible	invisibile
involuntarily	involontariamente
involuntary	involontario
irascible	irascibile
irate	irato
ire	ira
irk	infastidire
irks	Irks
irksome	seccante
irksomeness	fastidiosità
ironic	ironico
ironical	ironico
ironically	ironicamente
ironies	ironie
irony	ironia
irrational	irrazionale
irrationalities	irrazionalità
irrationality	irragionevolezza
irrationally	irrazionalmente
irrationals	irrazionali
irreconcilable	inconciliabile
irrecoverable	irrecuperabile
irrecoverableness	irrecuperabilità
irrecoverably	irrimediabilmente
irredeemable	irredimibile
irredeemably	irrimediabilmente
irreformable	irreformabile
irregular	irregolare
irregularity	irregolarità
irreparable	irreparabile
irrepressible	irrefrenabile
irresolute	irresoluto
irresolvable	irrisolvibile
irresponsible	irresponsabile
irresponsibly	irresponsabile
irretrievable	irrimediabile
irreversible	irreversibile
irritable	irritabile
irritably	irritabile
irritant	irritante
irritate	irritare
irritated	irritata
irritating	irritante
irritation	irritazione
irritations	irritazioni
isolate	isolato
isolated	isolato
isolation	isolamento
issue	problema
issues	problemi
itch	prurito
itching	pizzicore
itchy	pruriginoso
jabber	blaterare
jaded	affaticato
jagged	frastagliato
jam	marmellata
jarring	stridente
jaundiced	itterico
jealous	geloso
jealously	gelosamente
jealousy	gelosia
jeer	scherno
jeeringly	scherno
jeers	fischi
jeopardy	pericolo
jerk	cretino
jerky	convulso
jitters	nervosismo
jittery	nervoso
job-killing	lavoro-uccisione
joke	scherzo
joker	burlone
jolt	scossa
jumpy	eccitabile
junk	giunca
junky	Junky
junkyard	discarica
jutter	Jutter
jutters	Jutters
kaput	rovinato
kill	uccidere
killed	ucciso
killer	uccisore
killing	uccisione
killjoy	guastafeste
kills	uccide
knave	fante
knife	coltello
knock	battere
knotted	annodato
kooky	Kooky
lack	mancanza
lackadaisical	apatico
lacked	mancava
lackey	lacchè
lackeys	lacchè
lacking	carente
lacks	manca
laconic	laconico
lag	ritardo
lagged	lag
laggy	lag
lags	GAL
laid-off	licenziato
lame	noioso
lament	lamento
lamentable	lamentevole
languid	languido
languish	languire
languor	languore
languorous	languida
languorously	languidamente
lapse	periodo
lapsed	decaduto
lapses	decade
lascivious	lascivo
latency	latenza
laughable	ridicolo
laughably	ridicolmente
laughingstock	zimbello
lazy	pigro
leak	perdita
leakage	perdita
leakages	perdite
leaks	perdite
lecher	libertino
lecherous	lascivo
lechery	lascivia
leech	sanguisuga
leery	astuto
lemon	Limone
lengthy	lungo
lethal	letale
lethargic	letargico
lethargy	letargo
lewd	lascivo
lewdness	lascivia
liability	responsabilità
liable	responsabile
liar	bugiardo
liars	Bugiardi
licentious	licenzioso
licentiously	licenziosamente
licentiousness	licenziosità
lie	menzogna
lied	mentito
lier	Lier
lies	bugie
limit	limite
limitation	limitazione
limitations	limitazioni
limited	limitato
limits	limiti
limp	zoppicare
listless	svogliato
litigious	litigioso
livid	livido
lividly	lividamente
loath	restio
loathe	detestare
loathing	ripugnanza
loathsome	ripugnante
lone	solitario
loneliness	solitudine
lonely	solitario
loner	solitario
lonesome	solitario
long-winded	prolisso
longing	brama
longingly	nostalgia
loophole	scappatoia
loopholes	scappatoie
loose	sciolto
loot	bottino
lose	perdere
loser	perdente
losers	perdenti
loses	perde
losing	perdere
loss	perdita
losses	perdite
lost	perduto
loud	forte
lousy	schifoso
lovelorn	infelice
lowly	umile
ludicrous	ridicolo
ludicrously	ridicolmente
lugubrious	lugubre
lukewarm	tiepido
lull	pausa
lumpy	granuloso
lunatic	lunatico
lurch	barcollare
lure	adescare
lurid	livido
lurk	appostarsi
macabre	macabro
mad	pazzo
madden	impazzire
maddening	fastidioso
madder	robbia
madly	follemente
madman	pazzo
madness	follia
maladjusted	disadattato
maladjustment	inadattabilità
malady	malattia
malaise	malessere
malcontent	malcontento
malevolence	malevolenza
malevolent	malevolo
malice	malizia
malicious	maligno
maliciously	maliziosamente
malign	maligno
malignant	maligno
malodorous	maleodorante
maltreatment	maltrattamento
mangle	mangano
mangled	maciullato
mangles	mangani
mangling	storpiatura
maniac	maniaco
maniacal	maniacale
manic	maniaco
manipulate	manipolare
manipulation	manipolazione
manipulative	manipolativo
manipulators	manipolatori
marginal	marginale
marginally	marginalmente
martyrdom	martirio
mashed	schiacciato
massacre	massacro
massacres	massacri
mawkish	svenevole
mawkishness	sdolcinatezza
meager	magro
meanness	ristrettezza
measly	miserabile
meddle	immischiarsi
meddlesome	ficcanaso
mediocrity	mediocrità
melancholy	malinconia
melodramatic	melodrammatico
melodramatically	melodrammatico
menace	minaccia
menacing	minaccioso
menacingly	minacciosamente
mendacious	mendace
mendacity	mendacia
menial	servile
merciless	spietato
mess	pasticcio
messed	incasinato
messes	pasticci
messing	pasticciano
messy	disordinato
midget	nano
miff	battibecco
militancy	militanza
mindless	irragionevole
mirage	miraggio
mire	fango
misalign	disallineare
misaligned	disallineato
misapprehend	fraintendere
misbecoming	sconveniente
misbegotten	illegittimo
miscalculate	sbagliare
miscellaneous	miscellaneo
mischief	dispetto
mischievous	malizioso
mischievously	maliziosamente
miscreant	furfante
miser	avaro
miserable	miserabile
miserably	miserabilmente
miseries	miserie
miserly	avaro
misery	miseria
misfit	disadattato
misfortune	sventura
misgiving	apprensione
misgivings	perplessità
misguided	fuorviato
mishandle	maltrattare
mishap	disavventura
misinformed	disinformato
misleading	ingannevole
misleadingly	ingannevolmente
mispronounces	storpia
misreading	travisamento
misrepresent	travisare
misrepresentation	travisamento
miss	Perdere
missed	perse
misses	miss
misstatement	errata
mist	nebbia
mistake	sbaglio
mistaken	sbagliato
mistakenly	erroneamente
mistakes	errori
mistress	padrona
mistrust	diffidare
mistrustful	diffidente
mists	nebbie
misunderstand	fraintendere
misunderstanding	malinteso
misunderstandings	incomprensioni
misunderstood	frainteso
misuse	abuso
moan	gemito
mobster	gangster
mock	finto
mocked	deriso
mockery	beffa
mocking	beffardo
mockingly	beffardamente
mocks	deride
molest	molestare
molestation	molestia
monotonous	monotono
monotony	monotonia
monster	mostro
monstrosities	mostruosità
monstrosity	mostruosità
monstrous	mostruoso
monstrously	mostruosamente
moody	lunatico
moot	discutibile
mope	avvilirsi
morbid	morboso
morbidly	morbosamente
mordant	mordente
mordantly	causticamente
moribund	moribondo
moron	deficiente
moronic	idiota
morons	idioti
mortification	mortificazione
mortified	mortificato
mortify	mortificare
mortifying	mortificante
motionless	immobile
motley	eterogeneo
mourn	piangere
mournful	luttuoso
muddle	confusione
muddy	fangoso
mulish	testardo
multi-polarization	multi-polarizzazione
mundane	mondano
murder	omicidio
murderer	assassino
murderous	omicida
murderously	mortalmente
murky	oscuro
muscle-flexing	muscolo-flessione
mushy	pastoso
musty	ammuffito
mysterious	misterioso
mysteriously	misteriosamente
mystery	mistero
mystify	mistificare
myth	mito
nag	ronzino
nagging	fastidioso
naive	ingenuo
naively	ingenuamente
narrower	stretto
nastiness	sporcizia
nasty	cattiva
naughty	cattivo
nauseate	stomacare
nauseates	nausea
nauseating	nauseante
naïve	ingenuo
nebulous	nebuloso
needless	inutile
needlessly	inutilmente
needy	bisognoso
nefarious	malvagio
negate	negare
negation	negazione
negative	negativo
negatives	negativi
negativity	negatività
neglect	trascurare
neglected	trascurato
negligence	negligenza
negligent	negligente
nemesis	nemesi
nepotism	nepotismo
nervous	nervoso
nervously	nervosamente
nervousness	nervosismo
nettle	ortica
neurotic	nevrotico
neurotically	nevroticamente
niggles	pecche
nightmare	incubo
nightmarishly	incubo
nitpicking	pignolo
noise	rumore
noises	rumori
noisy	rumoroso
nonexistent	inesistente
nosey	ficcanaso
notoriety	notorietà
notorious	famigerato
notoriously	notoriamente
noxious	nocivo
nuisance	fastidio
numb	intorpidire
obese	obeso
object	oggetto
objection	obiezione
objectionable	sgradevole
objections	obiezioni
oblique	obliquo
obliterate	cancellare
obliterated	obliterato
oblivious	ignaro
obnoxious	odioso
obnoxiously	disgustosamente
obscene	osceno
obscenely	oscenamente
obscenity	oscenità
obscure	oscuro
obscured	oscurato
obscurity	oscurità
obsess	ossessionare
obsessive	ossessivo
obsessively	Ossessivamente
obsessiveness	ossessività
obsolete	obsoleto
obstacle	ostacolo
obstinate	ostinato
obstinately	ostinatamente
obstruct	ostacolare
obstructed	ostruito
obstructing	ostruente
obstruction	ostruzione
obstructs	ostacola
obtrusive	importuno
obtuse	ottuso
occlude	occludere
occluded	occluso
occludes	occlude
occluding	occlusione
odd	dispari
oddities	stranezze
oddity	stranezza
oddly	stranamente
odor	odore
offence	offesa
offend	offendere
offender	colpevole
offending	offendere
offenses	reati
offensive	offensivo
offensively	offensivamente
offensiveness	offensività
officious	ufficioso
ominous	infausto
ominously	minacciosamente
omission	omissione
omit	omettere
one-sided	unilaterale
onerous	oneroso
onerously	oneroso
opinionated	supponente
opponent	avversario
opportunistic	opportunistico
oppose	opporsi
opposition	opposizione
oppositions	opposizioni
oppress	opprimere
oppression	oppressione
oppressive	opprimente
oppressively	oppressivamente
oppressors	oppressori
ordeal	calvario
orphan	orfano
outbreak	scoppio
outburst	sfogo
outbursts	esplosioni
outcast	emarginato
outcry	protesta
outlaw	fuorilegge
outrage	indignazione
outraged	oltraggiato
outrageous	oltraggioso
outrageously	scandalosamente
outrageousness	sfacciataggine
outrages	oltraggi
over-acted	over-agito
over-balanced	sovra-bilanciato
over-priced	caro
over-valuation	sopravvalutazione
overact	strafare
overawe	intimidire
overbalance	sbilanciare
overbalanced	sbilanciato
overbearing	prepotente
overbearingly	prepotentemente
overblown	spampanato
overdo	esagerare
overdone	esagerato
overheat	surriscaldare
overkill	eccessivo
overloaded	stracarico
overlook	trascurare
overpaid	strapagati
overpower	sopraffare
overpriced	caro
overrated	sopravvalutato
overreach	oltrepassare
overrun	invadere
overshadow	oscurare
oversight	svista
oversights	sviste
oversimplified	semplificato
overstate	esagerare
overstated	sopravvalutato
overstatement	esagerazione
overstatements	esagerazioni
overstates	esagera
overtaxed	oberati
overthrow	rovesciare
overthrows	rovesciamenti
overturn	rovesciare
overweight	sovrappeso
overwhelm	sopraffare
overwhelmed	sopraffatto
overwhelming	travolgente
overwhelmingly	schiacciante
overwhelms	travolge
pain	dolore
painful	doloroso
painfully	dolorosamente
pains	dolori
pale	pallido
pales	impallidisce
paltry	meschino
pan	Pan
pandemonium	pandemonio
pander	assecondare
panders	Panders
panic	panico
paradoxical	paradossale
paradoxically	paradossalmente
paralize	paralizzare
paralyzed	paralizzato
paranoid	paranoico
parasite	parassita
pariah	paria
parody	parodia
partiality	parzialità
partisan	partigiano
partisans	partigiani
passive	passivo
passiveness	passività
pathetic	patetico
pathetically	pateticamente
patronize	patrocinare
paucity	scarsezza
pauper	indigente
paupers	poveri
payback	restituire
peculiar	peculiare
peculiarly	peculiare
pedantic	pedante
peeled	pelato
peeve	indispettire
peeved	innervosito
peevish	stizzoso
peevishly	stizza
penalize	penalizzare
penalty	pena
perfidious	perfido
perfidity	perfidia
perfunctory	superficiale
peril	pericolo
perilous	pericoloso
perilously	pericolosamente
perish	perire
pernicious	pernicioso
perplex	imbarazzare
perplexed	perplesso
perplexing	perplessi
perplexity	perplessità
persecute	perseguitare
persecution	persecuzione
pertinacious	pertinace
pertinacity	pertinacia
perturb	perturbare
perturbed	perturbato
pervasive	pervasivo
perverse	perverso
perversely	perversamente
perversion	perversione
perversity	perversità
pervert	pervertito
perverted	pervertito
perverts	pervertiti
pessimism	pessimismo
pessimistic	pessimistico
pessimistically	pessimisticamente
pest	peste
pestilent	pestilenziale
petrified	impietrito
petrify	pietrificarsi
petty	meschino
phobia	fobia
phobic	fobico
phony	falso
picket	picchetto
picketed	picchettato
picketing	picchettaggio
pickets	picchetti
picky	schizzinosi
pig	maiale
pigs	maiali
pillage	saccheggio
pillory	berlina
pimple	foruncolo
pinch	pizzico
pique	puntiglio
pitiable	pietoso
pitiful	pietoso
pitifully	pietosamente
pitiless	spietato
pittance	miseria
pity	pietà
plagiarize	plagiare
plague	peste
plasticky	plasticoso
plaything	giocattolo
