abound	abonder
glib	désinvolte
glibly	facilement
glitch	pépin
glitches	pépins
gloatingly	jubilatoire
gloom	obscurité
gloomy	sombre
glum	maussade
glut	surabondance
gnawing	rongeur
goad	aiguillon
goading	incitation
goon	continue
gossip	potins
graft	greffer
grainy	granuleux
grapple	grappin
grate	grille
grating	grille
gravely	gravement
greasy	graisseux
greed	avidité
greedy	glouton
grief	douleur
grievance	grief
grievances	griefs
grieving	attrister
grievous	grave
grievously	gravement
grim	sinistre
grind	moudre
gripes	coliques
grisly	macabre
gritty	graveleux
gross	brut
grossly	grossièrement
grouch	râleur
grouchy	grognon
growl	grognement
grudge	rancune
grudges	rancunes
gruesome	horrible
gruesomely	horriblement
gruff	bourru
grumble	plaindre
grumpier	grincheux
grumpiest	grincheux
grumpily	grincheux
grumpish	grincheux
grumpy	grincheux
guile	ruse
guilt	culpabilité
guiltily	coupable
guilty	coupable
gullible	crédule
gutter	gouttière
hack	pirater
haggard	hâve
haggle	marchander
halfheartedly	demi-cœur
hallucinate	halluciner
hamper	entraver
hampered	gêné
handicapped	handicapé
hang	pendre
hangs	bloque
hapless	malchanceux
harass	harceler
harassed	harcelé
harassment	harcèlement
harboring	héberger
hard	difficile
hard-liner	intransigeant
harden	durcir
hardened	endurci
hardheaded	têtu
hardliner	intransigeant
hardliners	Hardliners
hardship	épreuves
hardships	difficultés
harm	nuire
harmed	blessé
harmful	nocif
harms	nuit
harpy	harpie
harridan	Harridan
harried	harcelé
harrow	herse
harsh	dur
harshly	durement
hassle	tracas
hassled	harcelé
hassles	tracas
haste	hâte
hastily	hâtivement
hasty	précipité
hate	haine
hated	détesté
hateful	odieux
hatefully	haineusement
hatefulness	haine
hater	haineux
haters	ennemis
hates	déteste
hating	haïr
hatred	haine
haughtily	hautainement
haughty	hautain
haunt	hanter
haunting	hanté
havoc	ravage
hawkish	belliqueux
haywire	détraqué
hazard	danger
hazardous	dangereux
haze	brume
hazy	brumeux
heartbreaking	déchirant
heartbreakingly	déchirant
heathen	païen
heavy-handed	lourdement
heck	Zut
heckle	interrompre
heckled	chahuté
heckles	chahuteurs
hectic	trépidant
hedge	haie
hedonistic	hédonistique
heedless	inattentif
hefty	lourd
hegemonism	hégémonisme
hegemonistic	hégémoniste
hegemony	hégémonie
heinous	odieux
hell	enfer
hells	enfers
helplessly	impuissant
helplessness	impuissance
heresy	hérésie
heretic	hérétique
heretical	hérétique
hesitant	hésitant
hestitant	Hestitant
hideous	hideux
hideously	hideusement
hideousness	hideur
hiliarious	hilarant
hinder	empêcher
hindrance	obstacle
hiss	sifflement
hissed	sifflé
hissing	sifflant
hoard	magot
hoax	canular
hobble	entraver
hogs	porcs
hollow	creux
hoodwink	frauder
hopeless	désespéré
hopelessly	désespérément
hopelessness	désespoir
horrendous	horrible
horrendously	horriblement
horrid	affreux
horrific	horrible
horrified	horrifié
horrifies	horreurs
horrify	horrifier
horrifying	effroyable
hostage	otage
hostilities	hostilités
hostility	hostilité
hothead	exalté
hotheaded	impétueux
hothouse	serre
huckster	colporteur
hum	fredonner
humid	humide
humiliate	humilier
humiliating	humiliant
humming	bourdonnement
hung	pendu
hurt	blesser
hurted	blessé
hurtful	nuisible
hurting	blesser
hustler	Hustler
hypocricy	hypocricie
hypocrisy	hypocrisie
hypocritical	hypocrite
hypocritically	hypocritement
hysteria	hystérie
hysteric	hystérique
hysterical	hystérique
hysterically	hystériquement
hysterics	hystérie
idiocy	idiotie
idiotic	idiot
idiotically	bêtement
ignominious	ignominieux
ignominiously	ignominieusement
ignominy	ignominie
ignore	ignorer
ill-fated	malheureux
ill-favored	mal-favorisé
ill-treated	maltraité
illegal	illégal
illegally	illégalement
illegitimate	illégitime
illicit	illicite
illiterate	analphabète
illness	maladie
illogic	illogique
illogical	illogique
illogically	illogiquement
illusory	illusoire
imaginary	imaginaire
imbalance	déséquilibre
imbecile	imbécile
immaterial	immatériel
imminently	imminemment
immobilized	immobilisé
immoderate	immodéré
immoderately	immodérément
immodest	impudique
immorality	immoralité
immorally	immoralement
immovable	immeuble
impaired	altéré
impatiently	impatiemment
impeach	accuser
impedance	impédance
impede	entraver
impediment	obstacle
impending	imminent
impenitent	impénitent
imperfect	imparfait
imperfectly	imparfaitement
imperialist	impérialiste
imperious	impérieux
imperiously	impérieusement
impermissible	inadmissible
impersonal	impersonnel
impetuous	impétueux
impetuously	impétueusement
impiety	impiété
impinge	empiéter
impious	impie
implausibly	invraisemblablement
implicate	impliquer
implode	imploser
impolite	impoli
impolitely	impoliment
impolitic	impolitique
importunate	importun
importune	importuner
impose	imposer
imposers	imposteurs
imposing	imposant
impossiblity	impossibilité
impossibly	incroyablement
impotent	impuissant
impoverish	appauvrir
impoverished	appauvri
imprecate	imprécier
imprecise	imprécis
imprecisely	imprécis
imprecision	imprécision
imprison	emprisonner
imprisonment	emprisonnement
improbability	improbabilité
improbably	improbablement
improperly	incorrectement
impropriety	inconvenance
impudently	impudemment
impugn	attaquer
impulsive	impulsif
impulsively	impulsivement
impunity	impunité
impure	impur
impurity	impureté
inability	incapacité
inaccuracies	inexactitudes
inaccuracy	inexactitude
inaccurate	inexacte
inaccurately	inexactement
inactive	inactif
inadequacy	insuffisance
inadequate	inadéquat
inadequately	insuffisamment
inadverent	inconséquent
inadvisable	déconseillé
inadvisably	déconseillé
inane	inepte
inanely	niaisement
inappropriate	inapproprié
inapt	inapte
inarticulate	inarticulé
inattentive	inattentif
incapably	incapable
incautious	imprudent
incendiary	incendiaire
incense	encens
incite	inciter
incitement	incitation
incivility	incivilité
inclement	inclément
incognizant	incognito
incoherence	incohérence
incoherent	incohérent
incomparably	incomparablement
incompatability	incompatibilité
incompatibility	incompatibilité
incompetence	incompétence
incompetent	incompétent
incompetently	incompétent
incomplete	incomplet
incomprehensible	incompréhensible
incomprehension	incompréhension
inconceivable	inconcevable
inconceivably	inconcevablement
incongruous	incongru
inconsequent	inconséquent
inconsiderate	inconsidéré
inconsiderately	inconsidérément
inconsistence	inconsistance
inconsistencies	incohérences
inconsistency	incohérence
inconsistent	inconsistant
inconsolably	inconsolable
inconvenience	inconvénient
inconveniently	incommode
incorrect	Incorrect
incorrectly	incorrectement
incorrigibly	incorrigiblement
incredulous	incrédule
incredulously	incrédule
inculcate	inculquer
indecency	indécence
indecent	indécent
indecently	indécemment
indecision	indécision
indecisive	indécis
indecisively	indécisivement
indecorum	indécorum
indefensible	indéfendable
indelicate	indélicat
indeterminable	indéterminable
indeterminably	indéterminé
indeterminate	indéterminé
indifference	indifférence
indifferent	indifférent
indignant	indigné
indignantly	indigné
indignity	indignité
indiscernible	indiscernable
indiscreet	indiscret
indiscreetly	indiscrètement
indiscretion	indiscrétion
indiscriminate	indiscriminer
indiscriminately	indistinctement
indiscriminating	indiscriminant
indistinguishable	indiscernable
indoctrinate	endoctriner
indoctrination	endoctrinement
ineffective	inefficace
ineffectively	inefficace
ineffectiveness	inefficacité
ineffectual	inefficace
ineffectually	inefficace
ineffectualness	inefficacité
inefficacious	inefficace
inefficacy	inefficacité
inefficiency	inefficacité
inefficient	inefficace
inefficiently	inefficacement
inelegance	inélégance
inelegant	inélégant
ineligible	inéligible
ineloquent	inéloquent
ineloquently	inéloquemment
inept	inepte
ineptitude	ineptie
ineptly	inepte
inequalities	inégalités
inequality	inégalité
inequitable	inéquitable
inequitably	inéquitablement
inequities	inégalités
inescapable	inéluctable
inescapably	inéluctablement
inevitable	inévitable
inevitably	inévitablement
inexcusably	inexcusablement
inexorably	inexorablement
inexperience	inexpérience
inexperienced	inexpérimenté
inexpertly	inexpérimenté
inexplainable	inexplicable
inextricably	inextricablement
infamous	infâme
infamy	infamie
infected	infecté
inferior	inférieur
inferiority	infériorité
infest	infester
infested	infesté
infidel	infidèle
infidels	infidèles
infirm	infirme
inflame	enflammer
inflammatory	inflammatoire
inflammed	enflammé
inflated	gonflé
inflationary	inflationniste
inflict	infliger
infringe	enfreindre
infringement	infraction
infringements	infractions
infuriate	exaspérer
infuriated	furieux
infuriating	exaspérant
infuriatingly	exaspérante
ingrate	ingrat
inhibit	inhiber
inhospitable	inhospitalier
inhospitality	inhospitalité
inhuman	inhumain
inhumane	inhumain
inhumanity	inhumanité
inimical	hostile
inimically	inimitablement
iniquitous	inique
iniquity	iniquité
injure	blesser
injurious	préjudiciable
injury	blessure
innuendo	insinuation
inoperable	inopérable
inopportune	inopportun
inordinate	excessif
inordinately	démesurément
insane	insensé
insanely	follement
insanity	folie
insecurity	insécurité
insensitive	insensible
insensitively	insensiblement
insensitivity	insensibilité
insidious	insidieux
insidiously	insidieusement
insignificance	insignifiance
insignificant	insignifiant
insincerely	insincérément
insinuate	insinuer
insinuating	insinuant
insolently	insolemment
insolvent	insolvable
instability	instabilité
instigate	susciter
instigator	instigateur
instigators	instigateurs
insubordinate	insubordonné
insubstantial	négligeable
insufferable	insupportable
insufferably	insupportablement
insufficiency	insuffisance
insufficient	insuffisant
insufficiently	insuffisamment
insular	insulaire
insult	insulter
insulted	insulté
insulting	insultant
insultingly	insultant
insupportably	insupportablement
insurmountable	insurmontable
insurmountably	insurmontable
interfere	interférer
interference	ingérence
interferes	interfère
interrupt	interrompre
intimidate	intimider
intimidating	intimidant
intimidatingly	intimidant
intolerable	intolérable
intolerablely	intolérablement
intolerance	intolérance
intoxicate	enivrer
intractable	intraitable
intransigence	intransigeance
intransigent	intransigeant
intrude	intrusion
intrusive	intrusif
inundate	inonder
inundated	inondé
invader	envahisseur
invalid	invalide
invalidate	invalider
invalidity	invalidité
invasive	envahissant
invidious	injuste
invidiously	invidieusement
invidiousness	injustice
involuntarily	involontairement
involuntary	involontaire
irate	furieux
irately	irrité
ire	colère
irk	contrarier
irked	contrarié
irksome	ennuyeux
irksomeness	ennui
irksomenesses	impatients
ironic	ironique
ironical	ironique
ironically	ironiquement
ironies	Ironies
irony	ironie
irragularity	irrigularité
irrational	irrationnel
irrationalities	irrationalités
irrationality	irrationalité
irrationally	irrationnellement
irrationals	irrationnels
irreconcilable	irréconciliable
irrecoverable	irrécupérable
irrecoverableness	irrécupérable
irrecoverablenesses	irrécupérables
irrecoverably	irrémédiablement
irredeemable	irréparable
irredeemably	irrémédiablement
irreformable	irréformable
irregular	irrégulier
irregularity	irrégularité
irreparable	irréparable
irreplacible	irremplaçable
irrepressible	irrépressible
irresolute	irrésolu
irresolvable	irrésolvable
irresponsible	irresponsable
irresponsibly	irresponsable
irretrievable	irrémédiable
irreversible	irréversible
irritably	irritée
irritate	irriter
irritated	irrité
irritating	irritant
isolate	isoler
isolated	isolé
isolation	isolement
issue	problème
issues	problèmes
itch	démanger
itching	démangeaisons
jabber	jacasser
jaded	blasé
jagged	déchiqueté
jam	confiture
jarring	discordant
jaundiced	jaunisse
jealous	jaloux
jealously	jalousement
jealousness	jalousie
jealousy	jalousie
jeer	railler
jeeringly	moqueur
jeers	railleries
jeopardize	compromettre
jeopardy	péril
jerk	secousse
jerky	saccadé
jitter	gigue
jitters	frousse
jittery	nerveux
job-killing	tuer
joke	blague
jolt	secousse
judder	Judder
juddering	trébucher
jumpy	nerveux
junk	déchet
junkyard	Junkyard
kaput	fichu
kill	tuer
killed	tué
killer	tueur
killing	meurtre
kills	tue
knave	fripon
knife	couteau
knock	frappe
knotted	noué
lackadaisical	apathique
lacked	manqué
lackey	laquais
lackeys	laquais
lacking	manquant
lackluster	terne
lacks	manque
laconic	laconique
lag	décalage
lagged	retardé
lags	retards
lambast	agneau
lambaste	rosser
lame	boiteux
lament	complainte
lamentably	lamentablement
languid	languissant
languish	languir
languor	langueur
languorous	langoureux
languorously	langoureusement
lanky	dégingandé
lapse	laps
lapsed	périmé
lapses	défaillances
lascivious	lascif
latency	latence
laughable	ridicule
laughably	risiblement
laughingstock	risée
lawlessness	anarchie
layoff	Licencier
lazy	paresseux
leak	fuite
leakage	fuite
leakages	fuites
leaking	fuite
lecher	débauché
lecherous	lubrique
lechery	luxure
leech	sangsue
leer	lorgner
leery	méfiant
lemon	citron
lengthy	longue
lethal	mortel
lethargic	léthargique
lethargy	léthargie
lewd	obscène
lewdly	lubrique
lewdness	obscénité
liability	responsabilité
liable	responsable
liar	menteur
liars	menteurs
licentious	licencieux
licentiously	licenciement
licentiousness	licence
lie	mensonge
lied	menti
lies	mentir
limit	limite
limitations	limites
limited	limité
limits	limites
limp	boiter
listless	indifférent
litigious	litigieux
livid	livide
lividly	livide
loath	répugner
loathe	détester
loathing	répugnance
loathly	désespérément
loathsome	détestable
lone	seul
loneliness	solitude
lonely	solitaire
loner	solitaire
lonesome	solitaire
long-time	Longtemps
long-winded	verbeux
longing	désir
loophole	échappatoire
loopholes	failles
loot	butin
lorn	déchiré
lose	perdre
loser	perdant
losers	perdants
loses	perd
losing	perdant
loss	perte
losses	pertes
lost	perdu
loud	bruyant
lousy	pouilleux
lovelorn	amoureuse
lowly	humble
ludicrous	ridicule
ludicrously	ridiculement
lugubrious	lugubre
lukewarm	tiède
lull	accalmie
lumpy	grumeleux
lunatic	fou
lurch	embardée
lure	leurre
lurid	sinistre
lurking	cachette
lying	mensonge
mad	furieux
maddening	exaspérant
maddeningly	affolant
madder	garance
madly	follement
madman	fou
maladjusted	inadapté
maladjustment	inadaptation
malady	maladie
malcontent	mécontent
malcontented	mécontent
maledict	malédict
malevolence	malveillance
malevolent	malveillant
maliciously	malicieusement
maliciousness	malignité
malign	calomnier
malignant	malin
malodorous	malodorant
mangle	mutiler
mangled	mutilé
maniac	maniaque
maniacal	maniaque
manic	maniaque
manipulate	manipuler
manipulative	manipulateur
manipulators	manipulateurs
marginally	marginalement
martyrdom	martyre
matte	mat
mawkish	fade
meager	maigre
meanness	méchanceté
measly	misérable
meddlesome	indiscret
mediocre	médiocre
mediocrity	médiocrité
melancholy	mélancolie
melodramatic	mélodramatique
melodramatically	mélodramatiquement
meltdown	effondrement
menacing	menaçant
menacingly	menaçant
mendacious	mensonger
mendacity	fausseté
menial	servile
mess	désordre
messed	foiré
messes	mess
messing	déconner
messy	désordonné
midget	nain
miff	fâcherie
militancy	militantisme
mindless	stupide
mindlessly	stupidement
mire	boue
misalign	désaligner
misaligns	désalignements
misbecoming	mal-être
misbegotten	illégitime
miscellaneous	divers
mischief	sottises
mischievous	malicieux
mischievously	malicieux
miscreant	scélérat
miscreants	mécréants
miser	avare
miserable	misérable
miserableness	misérable
miserably	misérablement
miseries	misères
miserly	avare
misery	misère
misfit	inadapté
misfortune	malheur
misgiving	crainte
misgivings	appréhensions
misguidance	égarement
misguide	dévoyer
misguided	égaré
mishandle	maltraiter
mishap	mésaventure
mislead	tromper
misleading	trompeur
misleadingly	trompeusement
mispronounce	malpronounce
misrepresent	dénaturer
miss	manquer
missed	manqué
misses	manque
mist	brouillard
mistake	erreur
mistaken	trompé
mistakes	erreurs
mistified	mistifié
mistress	maîtresse
mistrust	méfiance
mistrustful	méfiant
mistrustfully	méfiant
mists	brumes
misunderstanding	malentendu
misunderstandings	malentendus
misuse	abuser
moan	gémissement
mobster	gangster
mock	moquer
mocked	moqué
mockeries	moqueries
mockery	moquerie
mocking	railleur
mockingly	moqueur
molest	molester
monotonous	monotone
monotony	monotonie
monster	monstre
monstrosities	monstruosités
monstrosity	monstruosité
monstrous	monstrueux
monstrously	monstrueusement
moot	discutable
morbid	morbide
morbidly	maladivement
mordantly	mordant
moribund	moribond
moron	idiot
moronic	débile
morons	crétins
mortified	mortifié
mortify	mortifier
mortifying	mortifiant
motionless	immobile
motley	hétéroclite
mourner	pleureuse
mournful	triste
mournfully	mélancoliquement
muddle	confusion
muddy	boueux
mudslinger	bouleverseur
mudslinging	dénigrement
mulish	têtu
multi-polarization	multi-polarisation
mundane	banal
murder	meurtre
murderer	meurtrier
murderous	meurtrier
murderously	meurtrier
murky	sombre
mushy	détrempé
mysterious	mystérieux
mysteriously	mystérieusement
mystery	mystère
mystify	mystifier
myth	mythe
nag	harceler
nagging	harcelant
naive	naïve
naively	naïvement
nastily	méchamment
nastiness	méchanceté
nasty	méchant
naughty	vilain
nauseate	écœurer
nauseates	nauséats
nauseating	nauséeux
nauseatingly	nauséabond
nebulous	nébuleux
nebulously	nébuleusement
needless	inutile
needlessly	inutilement
needy	nécessiteux
nefarious	infâme
nefariously	malfaisant
negate	nier
negation	négation
negative	négatif
negatives	négatifs
negativity	négativité
neglect	négligence
neglected	négligé
negligence	négligence
negligent	négligent
nemesis	Némésis
nepotism	népotisme
nervous	nerveux
nervously	nerveusement
nervousness	nervosité
nettle	ortie
neurotic	névrosé
neurotically	neurotiquement
niggles	dérange
nightmare	cauchemar
nightmarish	cauchemardesque
nightmarishly	cauchemardesque
noise	bruit
noisy	bruyant
nonexistent	inexistant
nonsense	absurdité
nosey	curieux
notoriety	notoriété
notorious	célèbre
notoriously	notoirement
noxious	nuisible
numb	engourdi
obese	obèse
object	objet
objectionable	répréhensible
obliterate	effacer
obliterated	oblitéré
oblivious	inconscient
obnoxious	odieux
obnoxiously	odieusement
obscene	obscène
obscenely	obscénement
obscenity	obscénité
obscure	obscur
obscured	obscurci
obscures	obscurcit
obscurity	obscurité
obsess	obséder
obsessive	obsessionnel
obsessively	obsessionnellement
obsessiveness	obsession
obsolete	obsolète
obstinate	obstiné
obstinately	obstinément
obstruct	obstruer
obstructed	obstrué
obstructing	obstruer
obstructs	obstrue
obtrusive	importun
obtuse	obtus
occlude	occlure
occluded	occlus
occludes	occlus
occluding	occlusion
odd	impair
oddities	bizarreries
oddity	singularité
oddly	bizarrement
odor	odeur
offence	infraction
offend	offenser
offender	délinquant
offending	incriminé
offenses	infractions
offensively	offensivement
offensiveness	offensante
officious	officieux
ominously	menaçant
omit	omettre
one-sided	unilatéral
onerous	lourd
onerously	lourdement
onslaught	assaut
opinionated	dogmatique
opponent	adversaire
opportunistic	opportuniste
oppose	s'opposer
oppress	opprimer
oppressive	oppressif
oppressively	oppressive
oppressiveness	oppression
oppressors	oppresseurs
ordeal	supplice
orphan	orphelin
ostracize	ostraciser
outbreak	déclenchement
outburst	explosion
outbursts	éclats
outcast	banni
outcry	tollé
outmoded	démodé
outraged	indigné
outrageous	scandaleux
outrageously	outrageusement
outrageousness	outrage
over-acted	sur-agi
over-awe	intimider
over-hyped	over-hype
over-valuation	surestimation
overacted	exagéré
overawe	intimider
overbalance	basculer
overbalanced	surbalancé
overbearing	autoritaire
overbearingly	paresseusement
overblown	exagéré
overdo	exagérer
overdone	exagéré
overheat	surchauffer
overkill	surpuissance
overloaded	surchargé
overlook	négliger
overplay	surjouer
overpower	maîtriser
overrated	surfait
overreach	dépassement
overrun	envahi
overshadow	éclipser
oversight	surveillance
oversights	oublis
oversimplify	simplifier
oversize	surdimensionné
overstate	exagérer
overstated	exagéré
overstatement	exagération
overstatements	exagérations
overstates	surestime
overtaxed	surtaxé
overthrow	renverser
overthrows	renverse
overturn	renverser
overwhelm	submerger
overwhelmed	submergé
overwhelming	accablant
overwhelmingly	massivement
overwhelms	submerge
pain	douleur
painful	douloureux
painfull	douloureux
painfully	douloureusement
pale	pâle
pales	pâlit
paltry	dérisoire
pandemonium	chaos
pander	entremetteur
pandering	proxénète
panic	panique
panick	panique
panicked	paniqué
panicking	paniquer
paradoxical	paradoxal
paradoxically	paradoxalement
paralize	paralyser
paralyzed	paralysé
paranoia	paranoïa
paranoid	paranoïaque
pariah	paria
parody	parodie
partiality	partialité
passive	passif
passiveness	passivité
pathetic	pathétique
pathetically	pathétiquement
patronize	fréquenter
paucity	manque
pauper	pauvre
paupers	pauvres
payback	remboursement
peculiar	particulier
peculiarly	particulièrement
pedantic	pédant
peeled	épluché
peeved	pissé
peevish	maussade
peevishly	hargneusement
penalize	pénaliser
penalty	peine
perfidious	perfide
perfunctory	sommaire
peril	péril
perilous	périlleux
perilously	dangereusement
perish	périr
pernicious	pernicieux
perplex	embarrasser
perplexed	perplexe
perplexing	embarrassant
perplexity	perplexité
persecute	persécuter
persecution	persécution
pertinacious	opiniâtre
pertinaciously	pertinemment
pertinacity	opiniâtreté
perturb	perturber
perturbed	perturbé
pervasive	envahissant
perverse	pervers
perversely	perversement
perversity	perversité
pervert	pervertir
perverted	pervers
perverts	pervers
pessimism	pessimisme
pessimistic	pessimiste
pest	ravageur
pestilent	pestilentiel
petrified	pétrifié
petrify	pétrifier
petty	petit
phobia	phobie
phobic	phobique
phony	faux
picket	piquet
picketed	piqueté
pickets	piquets
picky	difficile
pig	porc
pillory	pilori
pimple	bouton
pinch	pincer
pique	piquer
pitiable	pitoyable
pitiful	pitoyable
pitifully	pitoyablement
pity	pitié
plagiarize	plagier
plague	peste
plaything	jouet
plea	plaidoyer
pleas	plaidoyers
plebeian	plébéien
plot	terrain
plotters	traceurs
ploy	stratagème
plunder	pillage
plunderer	pillard
pointless	inutile
poisonous	toxique
poisonously	venimeux
pokey	taule
poky	exigu
polemize	polémiser
pollute	polluer
polluter	pollueur
polluters	pollueurs
pompous	pompeux
poor	pauvre
poorly	pauvrement
posturing	posture
pout	moue
powerless	impuissant
prate	jaser
prattle	babil
precarious	précaire
precariously	précairement
precipitate	précipité
precipitous	abrupt
predatory	prédateur
prejudge	préjuger
prejudice	préjudice
prejudicial	préjudiciable
premeditated	prémédité
preoccupy	préoccuper
preposterous	absurde
presumptuous	présomptueux
presumptuously	présomptueusement
pretence	prétexte
pretense	prétexte
pretentious	prétentieux
pretentiously	prétentieusement
prevaricate	tergiverser
pricey	cher
prick	piquer
prickle	picoter
prickles	piquants
prideful	orgueilleux
primitive	primitif
prisoner	prisonnier
problem	problème
problematic	problématique
problems	problèmes
procrastinate	tergiverser
procrastinates	procrastine
profanity	impiété
prohibit	interdire
prohibitive	prohibitif
prohibitively	prohibitif
proprietary	propriétaire
prosecute	poursuivre
protest	protestation
protested	protesté
protesting	protester
protests	protestations
protracted	prolongé
provocative	provocant
provoke	provoquer
pry	prier
pugnacious	pugnace
pugnacity	pugnacité
punish	punir
punishable	punissable
punitive	punitif
puny	chétif
puppet	fantoche
puppets	marionnettes
puzzled	perplexe
puzzlement	perplexité
puzzling	déroutant
quack	charlatan
qualm	scrupule
qualms	scrupules
quandary	dilemme
quarrel	querelle
quarrellous	querelleuse
quarrellously	querelleusement
quarrels	querelles
quarrelsome	querelleur
quash	annuler
questionable	discutable
quibble	ergoter
quibbles	ergoter
rabid	enragé
racism	racisme
racist	raciste
racists	racistes
racy	racé
radicalization	radicalisation
radically	radicalement
radicals	radicaux
raging	rage
raked	ratissé
rampage	déchaînement
ramshackle	délabré
rancor	rancune
rankle	ennuyer
rant	déclamer
ranted	déclamé
ranting	déclamer
rantingly	rageusement
rants	déchaîne
rape	râpé
raped	violé
raping	violer
rascal	coquin
rascals	coquins
rash	téméraire
rattle	hochet
rattled	ébranlé
rattles	hochets
ravage	ravager
raving	délirant
reactionary	réactionnaire
rebellious	rebelle
rebuff	rebuffade
rebuke	réprimander
recalcitrant	récalcitrant
recant	rétracter
recession	récession
recessionary	récessionnaire
reckless	téméraire
recklessly	imprudemment
recklessness	insouciance
recoil	recul
recourses	recours
redundancy	redondance
redundant	redondant
refusal	refus
refuse	refuser
refused	refusé
refuses	refuse
refusing	refusant
refutation	réfutation
refute	réfuter
refuted	réfuté
refutes	réfute
refuting	réfuter
regress	régresser
regression	régression
regressive	régressif
regreted	regretté
regrettably	malheureusement
regretted	regretté
reject	rejeter
rejected	rejeté
rejecting	rejetant
rejection	rejet
rejects	rejette
relapse	rechute
relentless	implacable
relentlessly	implacablement
relentlessness	implacabilité
reluctance	réluctance
reluctant	réticent
remorse	remords
renounce	renoncer
renunciation	renonciation
repel	repousser
repetitive	répétitif
reprehensible	répréhensible
reprehensibly	répréhensible
reprehensive	répréhensible
repress	réprimer
repression	répression
repressive	répressif
reprimand	réprimande
reproach	reproche
reprove	réprouver
reprovingly	réprimander
repudiate	répudier
repudiation	répudiation
repugn	repousser
repugnance	répugnance
repugnant	répugnant
repugnantly	répugnant
repulse	repousser
repulsed	repoussé
repulsing	repousser
repulsive	repoussant
repulsively	repoussant
repulsiveness	répulsion
resent	renvoyé
resentful	irrité
resentment	rancœur
resignation	démission
resigned	résigné
restless	agité
restlessness	agitation
restrict	restreindre
restricted	limité
restrictive	contraignant
resurgent	renaissant
retarded	retardé
retardedness	retard
retards	retarde
reticent	réticent
retreated	retraité
revenge	vengeance
revengeful	vindicatif
revengefully	vengeance
revert	revenir
revile	vilipender
reviled	insulté
revoke	révoquer
revolt	révolte
revolting	révoltant
revoltingly	révoltant
revulsion	dégoût
revulsive	révulsif
rhetoric	rhétorique
rhetorical	rhétorique
ridiculous	ridicule
ridiculously	ridiculement
rife	répandre
rift	crevasse
rifts	Failles
rigid	rigide
rigidity	rigidité
rigidness	rigidité
rile	agacer
riled	raillé
rip	déchirure
rip-off	vol
ripoff	vol
ripped	déchiré
risk	risque
risky	risqué
rivalry	rivalité
rocky	rocheux
rogue	coquin
rot	pourrir
rotten	pourri
rough	rugueux
rubbish	ordures
rude	grossier
ruffian	brute
ruffle	ébouriffer
ruined	ruiné
ruining	ruiner
ruinous	ruineux
ruins	ruines
rumbling	grondement
rumor	rumeur
rumors	rumeurs
rumours	rumeurs
rumple	froisser
run-down	fatigué
runaway	fuyez
rust	rouille
rusty	rouillé
ruthless	impitoyable
ruthlessly	impitoyablement
ruts	ornières
sack	sac
sacrificed	sacrifié
sad	triste
sadden	attrister
sadly	Malheureusement
sadness	tristesse
sag	affaissement
sagged	affaissé
sagging	affaissement
saggy	flasque
sags	fléchit
salacious	salace
sanctimonious	moralisateur
sap	sève
sarcasm	sarcasme
sarcastic	sarcastique
sarcastically	sarcastique
sardonic	sardonique
sardonically	sardoniquement
sass	toupet
satirical	satirique
satirize	satire
savage	sauvage
savaged	sauvé
savagery	sauvagerie
savages	sauvages
scaly	écailleux
scam	arnaque
scams	escroqueries
scandal	scandale
scandalize	scandaliser
scandalized	scandalisé
scandalous	scandaleux
scandalously	scandaleusement
scandals	scandales
scant	peu
scar	cicatrice
scarce	rare
scarcity	rareté
scare	effrayer
scared	effrayé
scarier	effrayant
scariest	effrayant
scarily	effrayer
scarred	cicatrisé
scary	effrayant
scathing	cinglant
scathingly	cinglant
sceptical	sceptique
scoff	moquerie
scoffingly	moqueur
scold	gronder
scolded	grondé
scolding	réprimande
scoldingly	gronderly
scorching	brûlant
scorchingly	brûlant
scorn	mépris
scornful	méprisant
scoundrel	scélérat
scourge	fléau
scramble	brouiller
scrambled	brouillé
scrambles	brouiller
scrambling	brouiller
scrap	ferraille
scratch	rayure
scratched	rayé
scratches	rayures
scratchy	rêche
scream	crier
screech	hurler
screw-up	bousiller
screwed	vissé
screwed-up	foiré
screwy	tordu
scuff	érafler
scuffs	éraflures
scum	écume
scummy	écumeux
secretive	secret
sedentary	sédentaire
seedy	miteux
seething	bouillir
self-criticism	autocritique
self-defeating	auto-destructeur
self-destructive	autodestructeur
self-humiliation	auto-humiliation
self-interested	intéressé
self-serving	égoïste
selfish	égoïste
selfishly	égoïstement
selfishness	égoïsme
semi-retarded	semi-retardé
senile	sénile
sensationalize	sensationnalise
senseless	insensé
seriousness	gravité
sermonize	sermonner
set-up	installer
setback	revers
setbacks	revers
sever	rompre
severe	sévère
severity	gravité
shabby	minable
shadowy	ombragé
shady	ombragé
shake	secouer
shaky	précaire
sham	faux
shambles	pagaille
shameful	honteux
shamefully	honteusement
shamefulness	honte
shameless	éhonté
shamelessness	impudence
shark	requin
sharply	nettement
shatter	briser
shimmer	miroiter
shipwreck	Naufrage
shit	merde
shiver	frisson
shock	choc
shocked	choqué
shocking	choquant
shockingly	terriblement
shortage	pénurie
shortcoming	défaut
shortcomings	lacunes
shortness	courtesse
shortsighted	myope
shortsightedness	myopie
shrew	musaraigne
shriek	cri
shrill	aigu
shrilly	aigrement
shroud	envelopper
shrouded	enveloppé
