abound	bugne
exasperated	irriteret
exasperating	irriterende
exasperation	harme
excessive	overdreven
excessively	overdrevent
exclusion	undtagelse
excruciating	ulidelig
excruciatingly	ulideligt
excuse	undskyldning
excuses	undskyldninger
execrate	forbande
exhaust	udstødning
exhausted	udmattet
exhaustion	udmattelse
exhausts	udstødninger
exhort	formane
exile	eksil
exorbitant	ublu
exorbitantly	kvalte
expel	bortvise
expensive	dyrt
expire	udløbe
expired	udløbet
explode	eksplodere
exploit	udnytte
exploitation	udnyttelse
explosive	eksplosiv
expropriate	ekspropriere
expropriation	ekspropriation
expunge	udslette
exterminate	udrydde
extermination	udryddelse
extinguish	slukke
extort	afpresse
extortion	afpresning
extraneous	uvedkommende
extravagance	ekstravagance
extravagant	ekstravagant
extravagantly	overdådigt
extremism	ekstremisme
extremist	ekstremist
extremists	ekstremister
fabricate	fabrikere
fabrication	fabrikation
facetious	spottende
fail	svigte
failed	mislykkedes
failing	svigtende
fails	mislykkes
failure	fiasko
failures	svigt
faint	svag
faithless	troløse
fake	falsk
fall	efterår
fallacies	fejlslutninger
fallacious	fejlagtig
fallacy	fejlslutning
fallen	fallen
falling	faldende
false	falsk
falsehood	falskhed
falsely	falsk
falsify	forfalske
falter	vakle
faltered	vaklet
famine	hungersnød
fanatic	fanatisk
fanatical	fanatisk
fanatically	fanatisk
fanaticism	fanatisme
fanatics	fanatikere
fanciful	fantasifulde
farcical	farceagtige
farcical-yet-provocative	farceagtige-endnu-provokerende
farcically	farceagtigt
fascism	fascisme
fastidious	kræsen
fastidiously	kræsent
fat	fed
fat-cats	fedt-katte
fatalistic	fatalistisk
fatalistically	fatalistisk
fatally	dødeligt
fateful	skæbnesvangre
fatefully	skæbnesvangert
fatigue	træthed
fatigued	trættes
fatique	trætheden
fatty	fed
fatuity	selvforgudelse
fatuous	tåbeligt
fault	fejl
faults	fejl
faulty	defekt
fear	frygt
fearful	frygtsomme
fearfully	frygtsomt
fears	frygt
fearsome	frygtfuld
feeble	svag
feebleminded	åndssvag
feign	foregive
feint	finte
fell	faldt
felon	forbryder
ferociously	voldsomt
ferocity	vildskab
fetid	stinkende
fever	feber
feverish	febrilsk
fevers	feber
fiasco	fiasko
fickle	vægelsindet
fiction	fiktion
fictional	fiktive
fictitious	fiktiv
fidgety	feltstol
fiend	djævel
fiendish	djævelsk
fierce	voldsom
figurehead	galionsfigur
filth	snavs
filthy	beskidte
finicky	kræsen
fissures	sprækker
fist	næve
flabbergasted	paf
flagging	udflagning
flagrant	åbenlys
flagrantly	åbenlyst
flaking	afskalning
flaky	skællet
flares	nødblus
flaunt	flagre
flaw	fejl
flawed	fejlbehæftet
flaws	fejl
flee	flygte
fleeing	flygter
fleer	fleer
flees	flygter
fleeting	flygtig
flicker	flimmer
flickering	blinkende
flickers	flimrer
flighty	flyvsk
flimsy	spinkelt
flirty	flirtende
flounder	rødspætte
floundering	sprællede
foe	fjende
fool	narre
fooled	narre
foolhardy	dumdristig
foolish	tåbelig
foolishly	tåbeligt
foolishness	tåbelighed
forbid	forbyde
forbidden	forbudt
forbidding	forbyder
forceful	insisterende
foreboding	forudanelse
forfeit	miste
forged	smedet
forgetful	glemsom
forgetfulness	glemsomhed
forlorn	forladt
forsake	svigte
forsaken	forladt
foul	modbydeligt
fractious	skrøbelig
fracture	knoglebrud
fragile	skrøbelig
fragmented	fragmenteret
frail	skrøbelig
frantic	hektisk
frantically	febrilsk
fraud	svig
fraudulent	svigagtig
fraught	fyldt
freak	tosse
freakish	lunefulde
freeze	fryse
freezes	fryser
freezing	fryser
frenetic	hektiske
frenzied	forrykte
frenzy	vanvid
fret	klynke
friction	friktion
frictions	gnidninger
fried	stegt
fright	forskrækkelse
frighten	skræmme
frightening	skræmmende
frighteningly	skræmmende
frightful	frygtelige
frightfully	frygtelig
froze	frøs
frozen	frosset
fruitless	frugtesløse
fruitlessly	forgæves
frustrate	frustrere
frustrated	frustreret
frustrates	frustrerer
frustrating	frustrerende
frustratingly	frustrerende
frustrations	frustrationer
fuck	fanden
fucking	skide
fudge	fusk
fugitive	flygtning
fulminate	rase
fumble	fumle
fume	røg
fumes	dampe
fundamentalism	fundamentalisme
funnily	skægt
funny	sjov
furious	rasende
furiously	rasende
furor	furore
fury	raseri
fuss	ballade
fussy	kræsen
fusty	muggen
futile	forgæves
futilely	forgæves
futility	tomhed
gaffe	brøler
gainsay	modsige
gall	galde
galling	rivning
galls	galler
gape	måbe
garbage	affald
garish	skrigende
gasp	gispe
gaudy	prangende
gawky	klodset
genocide	folkedrab
ghastly	skrækkelige
gibber	plaprerier
gibberish	sludder
gibe	gibe
giddy	svimmel
gimmicky	popsmart
glare	blænding
glaringly	grelt
glitch	fejl
gloatingly	skadefro
gloom	dysterhed
gloomy	dyster
glum	mut
glut	overflod
gnawing	gnave
goad	anspore
god-awful	møgelendige
goof	mule
goofy	fedtmule
goon	fortsæt
gossip	sladre
graft	pode
grainy	kornet
grapple	kæmpe
grate	rist
grating	rist
gravely	alvorligt
greasy	fedtet
greed	grådighed
greedy	grådig
grief	sorg
grievance	klage
grievances	klager
grieving	sørgende
grievous	grov
grievously	svarlig
grim	barsk
grimace	grimasse
grind	male
gripe	brokke
gripes	kvababbelser
grisly	uhyggelig
gritty	grynet
gross	brutto
grossly	groft
grotesque	grotesk
grouchy	gnaven
groundless	grundløse
grouse	rype
growl	knurre
grudge	nag
grudges	nag
grudging	modstræbende
grudgingly	modstræbende
gruesome	grusomme
gruesomely	grusomt
gruff	bister
grumble	knurre
grumpy	gnaven
guile	list
guilt	skyld
guiltily	skyldbevidst
guilty	skyldig
gullible	godtroende
gutless	hjerteløst
gutter	tagrende
haggard	udtæret
hairloss	hårtab
halfhearted	halvhjertet
hallucinate	hallucinere
hamper	hæmme
hampered	hæmmet
handicapped	handicappet
hang	hænge
hangs	hænger
haphazard	tilfældig
hapless	ulykkelige
harangue	tale
harass	plage
harassed	chikaneret
harasses	chikanerer
harassment	chikane
harboring	husly
harbors	havne
hard	hårdt
harden	harden
hardened	hærdet
hardhearted	hårdhjertet
hardliners	høge
hardship	trængsler
hardships	strabadser
harm	skade
harmed	skadet
harmful	skadelig
harms	skader
harridan	harridan
harried	jaget
harrow	harve
harsh	barske
harshly	hårdt
hassle	besvær
hassled	chikaneret
hassles	besvær
haste	hastværk
hastily	hastigt
hasty	forhastet
hate	had
hated	hadet
hateful	hadefulde
hatefully	hadefuldt
haters	hadere
hates	hader
hating	hade
hatred	had
haughtily	overlegent
haughty	hovmodige
haunt	hjemsøge
haunting	jagende
havoc	ødelæggelse
hawkish	høgeagtig
haywire	skuddermudder
hazard	fare
hazardous	farlig
haze	dis
hazy	diset
head-aches	hoved-ømhed
headache	hovedpine
headaches	hovedpine
heartbreaker	heartbreaker
heartbreaking	hjerteskærende
heartless	hjerteløs
heathen	hedning
heavy-handed	hårdhændet
heck	dælen
heckle	heckle
heckled	tilråb
hectic	hektisk
hedge	hæk
hedonistic	hedonistiske
hefty	velvoksen
hegemonism	hegemoni
hegemonistic	hegemonisk
hegemony	hegemoni
heinous	afskyelig
hell	helvede
hellion	hellion
hells	helveder
helpless	hjælpeløs
helplessly	hjælpeløst
helplessness	hjælpeløshed
heresy	kætteri
heretic	kætter
heretical	kættersk
hesitant	tøvende
hideous	hæslige
hideously	fælt
hideousness	hæslighed
hinder	hindre
hindrance	hindring
hiss	hvisle
hissed	hvæsede
hissing	hvislende
hoard	hamstre
hoax	fupnummer
hobble	humpe
hogs	svin
hollow	hule
hoodwink	bluffe
hopeless	håbløs
hopelessly	håbløst
hopelessness	håbløshed
horrendous	forfærdelige
horrendously	skrækkeligt
horrible	forfærdelig
horrid	fælt
horrific	rædselsvækkende
horrified	forfærdet
horrifies	forfærder
horrify	forfærde
horrifying	gruopvækkende
hostage	gidsel
hostile	fjendtlig
hostilities	fjendtligheder
hostility	fjendtlighed
hotbeds	arnesteder
hothead	brushoved
hotheaded	opfarende
hothouse	væksthus
hubris	hybris
huckster	spækhøker
hum	brummen
humid	fugtig
humiliate	ydmyge
humiliating	ydmygende
humiliation	ydmygelse
humming	nynnen
hung	hang
hurtful	sårende
hurting	såre
hypocricy	hykleri
hypocrisy	hykleri
hypocrite	hykler
hypocrites	hyklere
hypocritical	dobbeltmoralsk
hypocritically	hyklerisk
hysteria	hysteri
hysterical	hysterisk
hysterically	hysterisk
hysterics	hysteri
idiocy	idioti
idiotic	idiotisk
idiotically	idiotisk
idiots	idioter
idle	ledig
ignoble	uværdig
ignominious	forsmædeligt
ignominiously	forsmædeligt
ignominy	skændsel
ignorance	uvidenhed
ignorant	uvidende
ignore	ignorere
ill-advised	uklog
ill-fated	ulyksalige
ill-mannered	uopdragen
ill-natured	gnavne
ill-tempered	arrig
ill-treated	mishandlet
ill-treatment	mishandling
illegal	ulovlig
illegally	ulovligt
illegitimate	uægte
illicit	ulovlig
illiterate	analfabetisk
illness	sygdom
illogical	ulogisk
illogically	ulogisk
illusions	illusioner
illusory	illusorisk
imaginary	imaginært
imbalance	uligevægt
imbecile	tåbe
immaterial	uvæsentlig
immature	umoden
imminently	overhængende
immobilized	immobiliseret
immoderate	umådeholden
immoderately	umådeligt
immodest	usømmeligt
immoral	umoralsk
immorality	umoral
immorally	umoralsk
immovable	ubevægelig
impair	hæmmet
impaired	svækket
impasse	dødvande
impatience	utålmodighed
impatient	utålmodig
impatiently	utålmodigt
impeach	anklage
impedance	impedans
impede	hindre
impediment	hindring
impending	forestående
impenitent	ubodfærdige
imperfect	ufuldkommen
imperfection	ufuldkommenhed
imperfections	ufuldkommenheder
imperfectly	ufuldkomment
imperialist	imperialistiske
imperil	true
imperious	bydende
imperiously	bydende
impermissible	utilladeligt
impersonal	upersonlig
impertinent	uforskammet
impetuous	fremfusende
impetuously	heftigt
impiety	ugudelighed
impinge	kolliderer
impious	ugudelig
implacable	uforsonlig
implausible	usandsynlig
implicate	implicere
implication	implikation
implode	implodere
impolite	uhøfligt
impolitic	upolitisk
importunate	påtrængende
impose	pålægge
imposing	pålægge
imposition	indførelse
impossible	umulig
impossibly	håbløst
impoverish	forarme
impoverished	forarmede
impractical	upraktisk
imprecise	upræcise
imprecisely	upræcist
imprecision	unøjagtighed
imprison	fængsle
imprisonment	fængsling
improbability	usandsynlighed
improbable	usandsynlig
improbably	usandsynligt
improper	upassende
improperly	forkert
impropriety	uregelmæssigheder
imprudence	uforsigtighed
imprudent	uforsigtig
impudence	frækhed
impudent	uforskammet
impudently	frækt
impugn	bestride
impulsive	impulsiv
impulsively	impulsivt
impunity	straffrihed
impure	uren
impurity	urenhed
inaccuracies	unøjagtigheder
inaccuracy	unøjagtighed
inaccurate	forkert
inaccurately	unøjagtigt
inaction	passivitet
inactive	inaktiv
inadequacy	utilstrækkelighed
inadequate	utilstrækkelig
inadequately	utilstrækkeligt
inadvisable	utilrådeligt
inane	åndsforladt
inappropriate	upassende
inappropriately	uhensigtsmæssigt
inapt	uegnet
inaptitude	uegnethed
inarticulate	uartikulerede
inattentive	uopmærksom
inaudible	uhørlig
incapable	stand
incautious	uforsigtig
incendiary	brandbomber
incense	røgelse
incessant	uophørlige
incessantly	uophørligt
incite	tilskynde
incitement	tilskyndelse
incivility	uhøflighed
inclement	barskt
incoherent	usammenhængende
incoherently	usammenhængende
incommensurate	utilstrækkeligt
incomparable	uforlignelige
incomparably	usammenligneligt
incompatability	uforenelighed
incompatibility	uforenelighed
incompatible	uforenelig
incompetence	inkompetence
incompetent	inkompetent
incomplete	ufuldstændig
incomprehensible	uforståelig
incomprehension	uforstående
inconceivable	utænkeligt
inconceivably	ufatteligt
incongruous	inkongruent
inconsequent	inkonsekvent
inconsequential	ligegyldig
inconsiderate	ubetænksom
inconsistencies	uoverensstemmelser
inconsistency	uoverensstemmelse
inconsistent	inkonsekvent
inconsolable	utrøstelig
inconsolably	utrøsteligt
inconstant	ustadig
inconvenience	ulejlighed
inconveniently	uhensigtsmæssig
incorrect	ukorrekt
incorrectly	forkert
incorrigible	uforbederlig
incorrigibly	uforbederligt
incredulous	skeptisk
inculcate	indpode
indecency	uanstændighed
indecent	uanstændig
indecently	uanstændigt
indecision	ubeslutsomhed
indecisive	ubeslutsom
indecisively	ubeslutsomt
indefensible	uforsvarligt
indelicate	taktløs
indeterminable	ubestemmelig
indeterminate	ubestemt
indifference	ligegyldighed
indifferent	ligegyldig
indigent	trængende
indignant	indignerede
indignantly	indigneret
indignation	harme
indignity	tort
indiscernible	umærkelig
indiscreet	indiskret
indiscretion	indiskretion
indiscriminate	vilkårlige
indiscriminately	flæng
indistinguishable	skelnes
indoctrinate	indoktrinere
indoctrination	indoktrinering
indulge	forkæle
ineffective	ineffektiv
ineffectively	ineffektivt
ineffectiveness	ineffektivitet
ineffectual	virkningsløs
ineffectually	ineffektivt
inefficacious	virkningsløs
inefficacy	ineffektivitet
inefficiency	ineffektivitet
inefficient	ineffektiv
inefficiently	ineffektivt
inelegant	uelegant
ineligible	støtteberettigede
inept	uduelig
ineptitude	uduelighed
ineptly	klodset
inequalities	uligheder
inequality	ulighed
inequitable	uretfærdig
inequitably	urimelig
inequities	uligheder
inescapable	uundgåelig
inescapably	uundgåeligt
inessential	uvæsentlig
inevitable	uundgåelige
inevitably	uundgåeligt
inexcusable	utilgiveligt
inexcusably	utilgiveligt
inexorable	ubønhørlig
inexorably	ubønhørligt
inexperience	uerfarenhed
inexperienced	uerfarne
inexpert	ukyndig
inexpertly	ukyndigt
inextricable	uløselig
inextricably	uløseligt
infamous	berygtede
infamously	infamt
infamy	skændsel
infected	inficeret
infection	infektion
infections	infektioner
inferior	underlegen
inferiority	underlegenhed
infernal	infernalsk
infest	angribe
infested	angrebne
infidel	vantro
infidels	vantro
infiltrator	infiltrator
infiltrators	infiltratorer
infirm	svagelige
inflame	opflamme
inflammation	betændelse
inflammatory	inflammatorisk
inflammed	betændt
inflated	oppustet
inflationary	inflationær
inflexible	ufleksibel
inflict	påføre
infraction	overtrædelse
infringe	krænke
infringement	krænkelse
infringements	overtrædelser
infuriate	hidse
infuriated	rasende
infuriating	oprørende
ingrate	utaknemlig
ingratitude	utaknemmelighed
inhibit	inhibere
inhibition	inhibering
inhospitable	ugæstfri
inhospitality	ugæstfrihed
inhuman	umenneskelig
inhumane	umenneskelig
inhumanity	umenneskelighed
inimical	fjendtlig
iniquitous	uretfærdige
iniquity	uret
injudicious	uklogt
injure	beskadige
injurious	skadelig
injury	skade
injustice	uretfærdighed
injustices	uretfærdigheder
innuendo	insinuationer
inoperable	ubrugeligt
inopportune	ubelejlig
inordinate	overdrevne
inordinately	uforholdsmæssigt
insane	sindssyg
insanely	sindssygt
insanity	sindssyge
insatiable	umættelig
insecure	usikker
insecurity	usikkerhed
insensible	følelsesløse
insensitive	ufølsom
insensitively	ufølsomt
insensitivity	ufølsomhed
insidious	snigende
insidiously	snigende
insignificance	ubetydelighed
insignificant	ubetydelig
insignificantly	ubetydeligt
insincere	uoprigtig
insincerity	uærlighed
insinuate	insinuere
insinuating	indsmigrende
insolence	uforskammethed
insolent	uforskammet
insolently	uforskammet
insolvent	konkurs
insouciance	sorgløshed
instability	ustabilitet
instable	ustabil
instigate	anstifte
instigator	anstifter
instigators	anstiftere
insubordinate	ulydig
insubstantial	uvæsentlige
insubstantially	ubetydeligt
insufferable	ulidelig
insufficiency	insufficiens
insufficient	utilstrækkelig
insufficiently	utilstrækkeligt
insular	ø
insult	fornærme
insulted	fornærmet
insulting	fornærmende
insultingly	fornærmende
insults	fornærmelser
insupportable	uudholdelig
insurmountable	uovervindelige
insurmountably	uløseligt
insurrection	oprør
intense	intens
interfere	blande
interference	interferens
interferes	forstyrrer
intermittent	sporadisk
interrupt	afbryde
interruption	afbrydelse
interruptions	afbrydelser
intimidate	skræmme
intimidating	skræmmende
intimidation	intimidering
intolerable	utålelig
intoxicate	beruse
intractable	umedgørlig
intransigence	uforsonlighed
intransigent	uforsonlige
intrude	trænge
intrusion	indbrud
intrusive	påtrængende
inundate	oversvømme
inundated	oversvømmet
invader	angriber
invalid	ugyldig
invalidate	afkræfte
invalidity	invaliditet
invasive	invasiv
invective	skældsord
inveigle	lokke
invidious	uheldige
invidiously	uretfærdigt
invisible	usynlig
involuntarily	ufrivilligt
involuntary	ufrivillig
irascible	opfarende
irate	harmdirrende
irked	irriterede
irks	irriterer
irksomeness	besværlighed
ironic	ironisk
ironical	ironisk
ironically	ironisk
ironies	ironier
irony	ironi
irrational	irrationel
irrationalities	irrationalitet
irrationality	irrationalitet
irrationally	irrationelt
irreconcilable	uforenelige
irrecoverable	uerholdeligt
irrecoverably	uigenkaldeligt
irredeemable	uopsigeligt
irredeemably	uigenkaldeligt
irregular	uregelmæssig
irregularity	uregelmæssighed
irrelevance	irrelevans
irreparable	uoprettelig
irrepressible	ukuelig
irresolute	ubeslutsom
irresolvable	uløseligt
irresponsible	uansvarlig
irresponsibly	uansvarligt
irretrievable	uigenkaldeligt
irreversible	irreversibel
irritable	irritabel
irritably	irriteret
irritant	lokalirriterende
irritate	irritere
irritated	irriteret
irritating	irriterende
irritations	irritationer
isolate	isolere
isolated	isolerede
issue	problem
issues	problemer
itch	kløe
itching	kløe
itchy	kløende
jaded	slidte
jagged	takkede
jam	marmelade
jarring	disharmonisk
jealous	jaloux
jealously	nidkært
jealousy	misundelse
jeer	spotte
jeering	hujende
jeopardize	true
jeopardy	fare
jerk	fjols
jitters	rystesyge
jittery	nervøs
job-killing	job-drab
jobless	arbejdsløs
jolt	rystelse
judder	vibrationer
juddering	vibrationer
jumpy	hoppende
junky	elendige
junkyard	junkyard
jutter	jutter
kill	dræbe
killed	dræbt
killer	morder
killing	drab
killjoy	lyseslukker
kills	drab
knife	kniv
knock	banke
knotted	knyttede
lack	mangel
lacked	manglede
lackey	lakaj
lackeys	lakajer
lacking	mangler
lackluster	glansløse
lacks	mangler
laconic	lakonisk
lag	forsinkelse
lagged	haltet
lagging	halter
lags	halter
laid-off	afskediget
lambast	skælde
lame	halt
lame-duck	flop
lament	klagesang
lamentable	beklagelig
lamentably	beklageligt
languid	sløv
languor	mathed
languorous	smægtende
lanky	ranglet
lapse	bortfalder
lapsed	bortfaldet
lapses	bortfalder
lascivious	pirrende
latency	latens
laughable	latterlig
laughably	latterligt
laughingstock	grin
lawbreaker	lovovertræder
lawbreaking	lovbrud
lawless	lovløs
lawlessness	lovløshed
layoff	fritstille
layoff-happy	fritstille-glad
lazy	doven
leak	lække
leakage	lækage
leakages	lækager
leaking	utæt
leaks	lækager
leaky	utæt
lech	lech
lecherous	liderlig
lechery	liderlighed
leech	igle
leery	mistænksom
left-leaning	venstreorienterede
lemon	citron
lengthy	langvarig
lethal	dødbringende
lethargic	sløv
lethargy	sløvhed
lewd	uanstændig
lewdness	utugt
liability	ansvar
liable	ansvarlig
liar	løgner
liars	løgnere
licentious	tøjlesløs
licentiousness	tøjlesløshed
lie	ligge
lied	løj
lier	løgner
lies	løgne
life-threatening	livstruende
lifeless	livløs
limit	begrænse
limitation	begrænsning
limitations	begrænsninger
limited	begrænset
limits	grænser
limp	halte
listless	sløv
livid	gusten
loath	tilbageholdne
loathe	væmmes
loathing	afsky
loathsome	modbydelig
loneliness	ensomhed
lonely	ensom
loner	enspænder
lonesome	ensom
long-winded	langtrukken
longingly	længselsfuldt
loophole	smuthul
loopholes	smuthuller
loose	løs
loot	plyndre
lorn	lorn
lose	tabe
loser	taber
losers	tabere
loses	taber
losing	miste
loss	tab
losses	tab
loud	højt
louder	højere
lousy	elendig
lovelorn	elskovssyge
low-rated	lav-rated
lowly	ydmyg
ludicrous	latterlig
ludicrously	latterligt
lukewarm	lunken
lull	dysse
lumpy	klumpet
lunatic	sindssyg
lurch	stikken
lure	lokke
lurid	skumle
lurk	lure
lurking	lurer
macabre	makabre
mad	gal
madden	madden
maddening	besværlig
madder	krap
madly	vildt
madman	galning
madness	vanvid
maladjusted	adfærdsvanskelige
maladjustment	tilpasningsproblemer
malady	sygdom
malaise	utilpashed
malevolence	ondsindede
malevolent	ondsindet
malice	ondskab
malicious	ondsindet
maliciously	skadelig
maliciousness	ondskab
malignant	ondartet
malodorous	ildelugtende
maltreatment	mishandling
mangled	lemlæstede
mangling	rulning
mania	mani
maniac	sindsyg
maniacal	maniske
manic	manisk
manipulate	manipulere
manipulative	manipulerende
manipulators	manipulatorer
mar	mar
marginal	marginal-
marginally	marginalt
martyrdom	martyrium
martyrdom-seeking	martyrium-søger
mashed	moset
massacre	massakre
massacres	massakrer
matte	mat
mawkish	sødladne
mawkishness	kælenskab
meager	mager
meaningless	meningsløs
meanness	smålighed
measly	sølle
meddlesome	geskæftig
mediocre	middelmådig
mediocrity	middelmådighed
melancholy	melankoli
melodramatic	melodramatisk
melodramatically	melodramatisk
meltdown	nedsmeltning
menace	trussel
menacing	truende
menacingly	truende
mendacious	løgnagtig
mendacity	løgnagtighed
menial	underordnede
merciless	nådesløs
mercilessly	nådesløst
mess	rod
messed	rodet
messes	messer
messy	rodet
midget	dværg
miff	miff
militancy	militarisme
mindless	tankeløs
mirage	fatamorgana
mire	sump
misaligned	skævt
misapprehend	misforstå
misbehave	uartig
miscalculate	fejlbedømme
miscalculation	fejlberegning
miscellaneous	diverse
mischief	ballade
mischievous	drilagtig
mischievously	skælmsk
misconception	misforståelse
misconceptions	misforståelser
miscreant	misdæder
miscreants	skurke
misdirection	vildledning
miser	gnier
miserable	elendig
miserableness	elendighed
miserably	ynkeligt
miseries	elendighed
miserly	nærige
misery	elendighed
misfortune	ulykke
misgiving	betænkelighed
misgivings	betænkeligheder
misguidance	vildledning
misguide	vildlede
misguided	vildledt
mishap	uheld
misinform	misinformere
misinformed	misinformeret
misinterpret	fejlfortolke
misjudge	fejlbedømme
misjudgment	fejlvurdering
mislead	vildlede
misleading	misvisende
misleadingly	misvisende
misread	fejllæsning
misreading	fejllæsning
misrepresent	forvanske
misrepresentation	vildledning
missed	savnet
misstatement	fejlinformation
mist	tåge
mistake	fejl
mistaken	fejl
mistakenly	fejlagtigt
mistakes	fejl
mistress	elskerinde
mistrust	mistillid
mistrustful	mistroisk
mistrustfully	mistænksomt
mists	tåger
misunderstand	misforstå
misunderstanding	misforståelse
misunderstandings	misforståelser
misunderstood	misforstået
misuse	misbruge
moan	jamre
mobster	gangsteren
mocked	drillet
mockery	hån
mocking	spottende
mockingly	hånligt
mocks	spotter
molest	forulempe
molestation	forulempelse
monotonous	ensformigt
monotony	monotoni
monster	uhyre
monstrosities	uhyrligheder
monstrosity	skrummel
monstrous	monstrøs
monstrously	monstrøst
moody	humørsyg
moot	omstridt
morbidly	sygeligt
mordant	bejdsemiddel
moribund	døende
moron	fjols
morons	idioter
mortification	selvfornægtelse
mortified	krænket
mortify	dræber
motionless	ubevægelig
motley	broget
mourner	sørgende
mournful	vemodigt
mournfully	sørgmodigt
muddle	roderi
muddy	mudret
mudslinging	mudderkastning
multi-polarization	multi-polarisering
mundane	hverdagsagtige
murder	mord
murderer	morder
murderous	morderiske
murderously	morderisk
murky	skumle
muscle-flexing	muskel-bøjning
mushy	grødet
musty	muggen
mysterious	mystisk
mystery	mysterium
mystify	mystificere
myth	myte
nagging	nagende
naive	naiv
naively	naivt
narrower	smallere
nastily	skalle
nastiness	ondskab
nasty	grim
naughty	uartig
nauseating	kvalmende
nauseatingly	kvalmende
naïve	naiv
nebulous	tågede
needless	unødvendig
needlessly	unødigt
needy	trængende
nefarious	forbryderiske
negate	negere
negative	negativ
negatives	negativer
negativity	negativitet
neglect	forsømme
neglected	forsømt
negligence	uagtsomhed
negligent	uagtsom
nepotism	nepotisme
nervous	nervøs
nervously	nervøst
nervousness	nervøsitet
nettle	brændenælde
neurotic	neurotisk
neurotically	neurotisk
niggles	stum
nightmare	mareridt
nightmarish	mareridtsagtig
nightmarishly	mareridtsagtig
noise	støj
noises	lyde
noisy	støjende
non-confidence	ikke-tillid
nonexistent	ikke-eksisterende
nonsense	nonsens
nosey	nysgerrig
notoriety	berygtet
notorious	berygtet
notoriously	notorisk
noxious	skadelige
nuisance	plage
numb	følelsesløs
obese	overvægtige
object	objekt
objection	indvending
objectionable	anstødeligt
objections	indvendinger
oblique	skrå
obliterate	udslette
obliterated	udslettet
oblivious	uvidende
obnoxious	klamt
obscene	obskøn
obscenely	obskønt
obscenity	obskønitet
obscure	obskur
obscured	sløres
obscures	tilslører
obscurity	ubemærkethed
obsess	besætte
obsessive	obsessiv
obsessively	fantatiske
obsolete	forældet
obstacle	hindring
obstinate	stædig
obstinately	stædigt
obstruct	hindre
obstructed	obstrueres
obstructing	blokerer
obstruction	obstruktion
obstructs	obstruerer
obtrusive	påtrængende
obtuse	stump
occlude	okkludere
occluded	okkluderet
occludes	okkluderer
occluding	tilstoppende
odd	ulige
oddest	mærkeligste
oddities	mærkværdigheder
oddity	særhed
oddly	mærkeligt
odor	lugt
offence	forbrydelse
offend	fornærme
offender	gerningsmand
offending	fejlende
offenses	lovovertrædelser
offensive	offensiv
offensively	offensivt
officious	geskæftig
ominous	ildevarslende
ominously	ildevarslende
omission	udeladelse
omit	udelade
one-sided	ensidigt
onerous	besværlig
onslaught	stormløb
opinionated	påståelig
opponent	modstander
opportunistic	opportunistisk
opposition	modstand
oppositions	indsigelser
oppress	undertrykke
oppression	undertrykkelse
oppressive	undertrykkende
oppressively	trykkende
oppressors	undertrykkere
ordeal	prøvelser
orphan	sjældne
ostracize	boykotte
outbreak	udbrud
outburst	udbrud
outbursts	udbrud
outcast	udstødt
outcry	ramaskrig
outlaw	fredløs
outmoded	forældet
outrage	skandale
outraged	oprørt
outrageous	uhyrlig
outrageously	uhyrligt
outrages	overgreb
over-acted	over-handlet
over-balanced	over-afbalanceret
over-priced	idet
over-valuation	overvurdering
overawe	imponere
overbalanced	overbalanceret
overbearing	anmassende
overblown	overdrevne
overdo	overdrive
overdone	overdrevet
overdue	forsinket
overheat	overophede
overloaded	overbelastet
overlook	overse
overpaid	overbetalte
overplay	overspille
overpower	overmande
overpriced	overpris
overrated	overvurderet
overreach	magtfuldkommenhed
overrun	overrendt
overshadow	overskygge
oversight	tilsyn
oversights	forglemmelser
oversimplification	oversimplificering
oversimplified	forsimplede
oversimplify	forsimpler
overstate	overdrive
overstated	overvurderet
overstatement	overdrivelse
overstates	overvurderer
overtaxed	overbelastede
overthrow	styrte
overturn	vælte
overweight	overvægtig
overwhelm	overvælde
overwhelmed	overvældet
overwhelming	overvældende
overwhelmingly	overvældende
overwhelms	overvælder
overzealous	nidkære
pain	smerte
painful	smertefuld
painfully	smerteligt
pains	smerter
pale	bleg
pales	blegner
paltry	sølle
pan	pande
pandemonium	pandemonium
pander	lefle
pandering	lefle
panic	panik
panicking	panik
panicky	panikagtig
paradoxical	paradoksalt
paralyzed	lammet
parasite	parasit
pariah	paria
parody	parodi
partiality	partiskhed
partisans	partisaner
passive	passiv
passiveness	passivitet
pathetic	patetisk
pathetically	højrøstet
patronize	nedladende
paucity	knapheden
pauper	fattiglem
paupers	fattiglemmer
payback	hævn
peculiar	ejendommelige
peculiarly	ejendommeligt
pedantic	pedantisk
peeled	skrællet
peeved	irriteret
peevish	vrissen
peevishly	gnavent
penalize	straffe
penalty	straf
perfidious	perfide
perfunctory	overfladiske
perilous	farefulde
perilously	faretruende
perish	forsvinde
pernicious	perniciøs
perplex	forvirre
perplexed	forvirret
perplexing	forvirrende
perplexity	rådvildhed
persecute	forfølge
persecution	forfølgelse
pertinacious	ihærdig
pertinaciously	hårdnakket
pertinacity	stædighed
perturb	forurolige
perturbed	forstyrrede
pervasive	gennemtrængende
perverse	pervers
perversely	perverst
perversity	perversitet
pervert	pervers
perverted	perverteret
perverts	perversion
pessimism	pessimisme
pessimistic	pessimistisk
pessimistically	pessimistisk
pest	skadedyr
pestilent	pest
petrified	forstenet
