abound	abundan
doubtful	dubidoso
doubtfully	dubidoso
doubts	dúbidas
douchbag	douchbag
douchebag	parvo
douchebags	douchebags
downbeat	pendente
downcast	abatido
downer	abaixo
downfall	caída
downfallen	caídas
downgrade	rebaixar
downhearted	desanimado
downheartedly	desconsolado
downside	desvantaxe
downsides	inconvenientes
downturn	desaceleración
downturns	desaceleración
drab	monótono
draconian	draconiana
draconic	draconia
drag	arrastrar
dragged	arrastrado
dragging	arrastrando
dragoon	dragón
drags	arrastra
drain	fuga
drained	drenado
draining	drenando
drains	drenos
drastic	drástico
drastically	drasticamente
drawback	inconveniente
drawbacks	inconvenientes
dread	temor
dreadful	terrible
dreadfully	terriblemente
dreadfulness	terrible
dreary	triste
dripped	goteo
dripping	goteo
drippy	drippy
drips	gotea
drones	drones
droop	caer
droops	gotas
drop-out	despedida
drop-outs	drop-outs
dropout	despedida
dropouts	abandonos
drought	seca
drowning	afogando
drunk	borracho
drunkard	borracho
drunken	borracho
dubious	dubidoso
dubiously	dubidosa
dubitable	dubitativo
dud	dud
dull	aburrido
dullard	dullard
dumb	mudo
dumbfound	estúpido
dump	vertedoiro
dumped	dumped
dumping	dumping
dumps	vertedoiro
dunce	Dunce
dungeon	mazmorra
dungeons	mazmorras
dupe	dupe
dust	po
dusty	polvoriento
dwindling	diminuíndo
dying	morrendo
earsplitting	Earsplitting
eccentric	excéntrico
eccentricity	excentricidade
effigy	efigie
effrontery	infartos
egocentric	egocéntrico
egomania	egomania
egotism	egotismo
egotistical	egoísta
egotistically	egoísticamente
egregious	agresivo
egregiously	ignorante
elimination	eliminación
emaciated	emaciado
emasculate	emasculate
embarrass	avergoñado
embarrassing	vergonzoso
embarrassingly	vergonzosamente
embarrassment	vergonza
embattled	embutled
embroil	embalar
embroiled	enredado
embroilment	embriamento
emergency	emerxencia
emphatic	enfático
emphatically	enfaticamente
emptiness	baleiro
encroach	invadir
encroachment	invasión
enemies	inimigos
enemy	inimigo
enervate	enervar
enfeeble	enfeeble
enflame	inflamar
engulf	engulir
enjoin	enjoin
enmity	inimizade
enrage	Enrage
enraged	enfurecido
enraging	enraging
enslave	Esclavizar
entangle	enredar
entanglement	entanglement
entrap	entrap
entrapment	atrapamento
envious	envexoso
enviousness	envexa
epidemic	epidemia
equivocal	equívoco
erase	borrar
erode	erosionar
erodes	erosiona
erosion	erosión
err	errar
errant	errante
erratic	errático
erratically	erraticamente
erroneous	erróneo
erroneously	erróneamente
error	erro
errors	erros
eruptions	erupcións
escapade	escapada
eschew	escapar
estranged	distanciado
evade	evadir
evasion	evasión
evasive	evasivo
evil	mal
evildoer	malvado
evils	males
eviscerate	eviscerar
exacerbate	exacerbar
exagerate	exagerado
exagerated	exagerado
exagerates	exagerados
exaggerate	esaxerar
exaggeration	esaxeración
exasperate	exasperar
exasperated	exasperado
exasperating	exasperante
exasperatingly	exasperante
exasperation	exasperación
excessive	excesivo
excessively	excesivamente
exclusion	exclusión
excoriate	excoriate
excruciating	excruciante
excruciatingly	inconsciente
excuse	escusa
excuses	desculpas
execrate	executar
exhaust	escape
exhausted	esgotado
exhaustion	esgotamento
exhausts	esgotamentos
exhorbitant	exorbitante
exhort	exhortar
exile	exilio
exorbitant	exorbitante
exorbitantance	exorbitantancia
exorbitantly	exorbitante
expel	expulsar
expensive	caro
expire	caducan
expired	caducou
explode	explotar
exploit	explotar
exploitation	explotación
explosive	explosivo
expropriate	expropiado
expropriation	expropiación
expulse	expulsar
expunge	expulsar
exterminate	exterminar
extermination	exterminio
extinguish	apagar
extort	extorsionar
extortion	extorsión
extraneous	extrano
extravagance	extravagancia
extravagant	extravagante
extravagantly	extravagante
extremism	extremismo
extremist	extremista
extremists	extremistas
eyesore	ollo
fabricate	fabricar
fabrication	fabricación
facetious	facetious
facetiously	facetiously
fail	falla
failed	fallou
failing	fallando
fails	falla
failure	falla
failures	fallos
faint	débil
fainthearted	desmayado
faithless	infiel
fake	falso
fall	caer
fallacies	falacias
fallacious	falaz
fallaciously	falláceamente
fallaciousness	falacia
fallacy	falacia
fallen	caído
falling	caendo
fallout	fallout
falls	cae
false	falso
falsehood	falsedad
falsely	falsamente
falsify	falsificar
falter	falter
faltered	faltered
famine	fame
famished	famed
fanatic	fanático
fanatical	fanático
fanatically	fanáticamente
fanaticism	fanatismo
fanatics	fanáticos
fanciful	fantasioso
far-fetched	despilfarro
farce	farsa
farcical	fofo
farcical-yet-provocative	fabuloso-aínda-provocativo
farcically	foxicamente
farfetched	estridente
fascism	fascismo
fascist	fascista
fastidious	fastidioso
fastidiously	fastidiosamente
fastuous	fastuoso
fat	graxa
fatal	fatal
fatalistic	fatalista
fatalistically	fatalisticamente
fatally	fatalmente
fatcat	fatcat
fatcats	gordos
fateful	fatídico
fatefully	fatalmente
fathomless	indefenso
fatigue	fatiga
fatigued	fatigado
fatique	fatique
fatty	graxo
fatuity	fatuidade
fatuous	fatuoso
fatuously	fatuosamente
fault	culpa
faults	fallas
faulty	defectuoso
fawningly	fervientemente
faze	faze
fear	medo
fearful	temeroso
fearfully	temerosa
fears	temores
fearsome	temible
feeble	débil
feeblely	feblemente
feebleminded	débil
feign	feign
feint	finta
fell	caeu
felon	felon
felonious	felonious
ferociously	ferozmente
ferocity	ferocidade
fetid	fétido
fever	febre
feverish	febril
fevers	febres
fiasco	fiasco
fib	fib
fibber	Fibra
fickle	inconstante
fiction	ficción
fictional	ficcional
fictitious	ficticio
fidget	fidget
fidgety	fidgety
fiend	fiend
fiendish	diabólico
fierce	feroz
filth	inmundicia
filthy	estampada
finagle	branco
finicky	finicky
fissures	fisuras
fist	puño
flabbergast	flabbergast
flabbergasted	flabbergasted
flagging	marcación
flagrant	flagrante
flagrantly	flagrante
flair	instinto
flairs	afeccionados
flak	flak
flake	escama
flakey	escamosa
flakieness	flaquidade
flaking	descamação
flaky	escamas
flare	flare
flares	bengalas
flareup	flareup
flareups	flareups
flat-out	plano
flaunt	presumir
flaw	fallo
flawed	imperfecto
flaws	defectos
flee	fuxir
fleed	fuxiu
fleeing	fuxindo
fleer	folerpa
flees	foxe
fleeting	fugaz
flicering	flicering
flicker	parpadeo
flickering	parpadeo
flickers	parpadeantes
flighty	flighty
flimflam	flimflam
flimsy	feble
flirt	coquetear
flirty	coqueto
floored	floored
flounder	barro
floundering	floundering
flout	caer
fluster	gasta
foe	inimigo
fool	tonto
fooled	enganado
foolhardy	temerario
foolish	tonto
foolishly	tolamente
foolishness	tolemia
forbid	prohibir
forbidden	prohibido
forbidding	prohibición
forceful	contundente
foreboding	foreboding
forfeit	perdida
forged	forxado
forgetful	esquecible
forgetfully	esquecemento
forgetfulness	esquecemento
forlorn	desamparado
forlornly	fordornly
forsake	abandonar
forsaken	abandonado
forswear	forswear
foul	falta
foully	mal
foulness	farsa
fractious	fracturado
fractiously	fraccionadamente
fracture	fractura
fragile	fráxil
fragmented	fragmentado
frail	fráxil
frantic	frenético
frantically	freneticamente
franticly	frenéticamente
fraud	fraude
fraudulent	fraudulento
fraught	cheo
frazzle	frazzle
frazzled	frazzled
freak	freak
freaking	freaking
freakish	freakish
freakishly	freakishly
freaks	freaks
freeze	xear
freezes	conxela
freezing	conxelación
frenetic	frenético
frenetically	frenéticamente
frenzied	frenético
frenzy	frenesí
fret	fret
fretful	fretful
frets	trastes
friction	fricción
frictions	friccións
fried	frito
friggin	friggin
frigging	fráxil
fright	medo
frighten	asustar
frightening	asustado
frighteningly	asustado
frightful	espantoso
frightfully	terriblemente
frigid	frígida
frost	xeadas
frown	frown
froze	conxelouse
frozen	conxelada
fruitless	infeliz
fruitlessly	infructuosamente
frustrate	frustrar
frustrated	frustrado
frustrates	frustra
frustrating	frustrante
frustratingly	frustrante
frustration	frustración
frustrations	frustracións
fuck	foder
fucking	puta
fudge	fudge
fugitive	fugitivo
full-blown	completo
fulminate	fulminar
fumble	fumble
fume	fume
fumes	fume
fundamentalism	fundamentalismo
funky	funky
funnily	divertidamente
funny	divertido
furious	furioso
furiously	furiosamente
furor	furor
fury	furia
fuss	alboroto
fussy	chuvioso
fustigate	fustigate
fusty	fusty
futile	inútil
futilely	inútil
futility	inutilidade
fuzzy	borroso
gabble	gabble
gaff	gaff
gaffe	gaffe
gainsay	gañou
gainsayer	ganador
gall	gall
galling	atormentando
gallingly	cruelmente
galls	galls
gangster	mafioso
gape	gape
garbage	lixo
garish	garish
gasp	gasp
gauche	gauche
gaudy	alegre
gawk	gawk
gawky	gawky
geezer	geezer
genocide	xenocidio
get-rich	enriquecerse
ghastly	espantoso
ghetto	gueto
ghosting	fantasmas
gibber	gibber
gibberish	gibberish
gibe	gibe
giddy	giddy
gimmick	truco
gimmicked	imitando
gimmicking	gimmicking
gimmicks	trucos
gimmicky	enxame
glare	brillo
glib	glib
glibly	glibly
glitch	glitch
glitches	fallas
gloatingly	gloatingly
gloom	tristeza
gloomy	sombrío
glower	glower
glum	glum
glut	glut
gnawing	gnawing
goad	touro
goading	chocando
god-awful	god-awful
goof	goof
goofy	torpe
goon	segue
gossip	rexouba
graceless	graceless
gracelessly	graciosamente
graft	enxerto
grainy	graino
grapple	manexar
grate	reixa
grating	reixa
gravely	gravemente
greasy	graxa
greed	avaricia
greedy	avaro
grief	pena
grievance	queixa
grievances	queixas
grieve	triste
grieving	pícaro
grievous	graves
grievously	graves
grim	sombrío
grimace	mueca
grind	moer
gripe	gripe
gripes	gripes
grisly	grismente
gritty	gritty
gross	bruto
grossly	groseiramente
grotesque	grotesco
grouch	grouch
grouchy	grouchy
grouse	grouse
growl	gruñir
grudge	rencor
grudges	escamas
grudging	rencor
gruesome	horrible
gruesomely	gruesomely
gruff	pesada
grumble	chorar
grumpiest	grumpiest
grumpily	grumpily
grumpish	grumpish
grumpy	grumpy
guile	guile
guilt	culpa
guiltily	culpable
guilty	culpable
gullible	crédula
gutless	gutless
gutter	canaleta
hack	piratear
hacks	hacks
haggard	desposeídos
haggle	regatear
hairloss	pele
halfhearted	desanimado
hallucinate	alucinar
hallucination	alucinación
hamper	dificultar
hampered	dificultada
handicapped	minusválidos
hang	colgar
hangs	colga
haphazard	asalto
hapless	infeliz
harangue	arengue
harass	hostigar
harassed	hostigado
harasses	asusta
harassment	acoso
harboring	abrigando
harbors	portos
hard	duro
hard-liner	hard-liner
hardball	hardball
harden	endurecer
hardened	endurecido
hardheaded	duro
hardliner	hardliner
hardliners	hardliners
hardship	dificultades
hardships	dificultades
harm	danos
harmed	prexudicado
harmful	nocivo
harms	prexudica
harpy	arpía
harridan	harridan
harried	atrapado
harrow	grada
harsh	dura
harshly	duramente
hasseling	asfixia
hassle	problemas
hassled	molestado
hassles	molestias
haste	présa
hastily	apresuradamente
hasty	apresuradamente
hate	odio
hated	odiado
hateful	odioso
hatefully	odio
hatefulness	odio
hater	abatir
haters	odios
hates	odia
hating	odiando
hatred	odio
haughtily	altivamente
haughty	altivo
haunt	asombrar
haunting	asombroso
havoc	estragos
hawkish	crujiente
haywire	falso
hazard	perigo
hazardous	perigosa
haze	néboa
hazy	brumoso
heartbreaking	desgarrador
heartbreakingly	desgarrador
heathen	paganos
heavy-handed	pesados
heavyhearted	pesado
heck	heck
heckle	heckle
heckled	heckled
heckles	heckles
hectic	axitado
hedge	cobertura
hedonistic	hedonista
hefty	pesado
hegemonism	hegemonismo
hegemonistic	hegemonista
hegemony	hexemonía
heinous	heinous
hell-bent	inflexible
hellion	hellion
helpless	indefenso
helplessly	impotente
helplessness	impotencia
heresy	herexía
heretic	herético
heretical	herético
hesitant	vacilante
hestitant	hestitante
hideous	horrible
hideously	terriblemente
hideousness	horror
hiliarious	hiliarios
hinder	dificultar
hindrance	impedimento
hiss	silbido
hissed	silbido
hissing	silbido
ho-hum	ho-hum
hoard	acumular
hoax	broma
hobble	desenfreado
hogs	porcos
hollow	oco
hoodium	hoodium
hoodwink	incómodo
hooligan	hooligan
hopelessly	irremediablemente
hopelessness	desesperanza
horde	horda
horrendous	horrible
horrendously	horriblemente
horrible	horrible
horrid	horrible
horrific	horrible
horrified	horrorizado
horrifies	horroriza
horrify	horroroso
horrifying	horroroso
horrifys	horrorosos
hostage	rehén
hostile	hostil
hostilities	hostilidades
hostility	hostilidade
hotbeds	cachorros
hothead	hothead
hotheaded	cabezudos
hothouse	inverno
hubris	hubris
huckster	huckster
hum	hum
humid	húmido
humiliate	humillar
humiliating	humillante
humiliation	humillación
humming	tarareando
hung	colgado
hurt	ferido
hurted	ferido
hurtful	ferido
hurting	ferindo
hurts	doe
hustler	cazador
hype	bombo
hypocricy	hipocresía
hypocrisy	hipocresía
hypocrite	hipócrita
hypocrites	hipócritas
hypocritical	hipócrita
hypocritically	hipócrita
hysteria	histeria
hysteric	histérica
hysterical	histérica
hysterically	histéricamente
hysterics	histeria
idiocies	idiocies
idiocy	idiotez
idiot	idiota
idiotic	idiota
idiotically	idioticamente
idiots	idiotas
idle	inactivo
ignoble	ignoble
ignominious	ignominiosa
ignominiously	ignominiosamente
ignominy	ignomínio
ignorance	ignorancia
ignorant	ignorante
ignore	ignorar
ill-fated	maligna
illegal	ilegal
illegally	ilegalmente
illegitimate	ilexítimo
illicit	ilícito
illiterate	analfabetos
illness	doenza
illogic	ilóxico
illogical	ilóxico
illogically	ilógicamente
illusion	ilusión
illusions	ilusións
illusory	ilusorio
imaginary	imaxinario
imbalance	desequilibrio
imbecile	imbécil
imbroglio	imbroglio
immaterial	inmaterial
immature	inmaturas
imminence	inminencia
imminently	inminente
immobilized	inmobilizado
immoderate	immoderar
immoderately	inmoderadamente
immodest	immodesto
immoral	inmoral
immorality	inmoralidade
immorally	inmoralmente
immovable	inmóbil
impair	perjudicar
impaired	impedido
impasse	impasse
impatience	impaciencia
impatient	impaciente
impatiently	impaciente
impeach	impeach
impedance	impedancia
impede	impedir
impediment	impedimento
impending	inminente
impenitent	impenitente
imperfect	imperfecto
imperfection	imperfección
imperfections	imperfeccións
imperfectly	imperfecto
imperialist	imperialista
imperil	imperil
imperious	imperioso
imperiously	imperiosamente
impermissible	impermeable
impersonal	impersonal
impertinent	impertinente
impetuous	impetuoso
impetuously	impetuosamente
impiety	impiedade
impinge	impedir
impious	impío
implacable	implacable
implausible	implausible
implausibly	implacablemente
implicate	implicar
implication	implicación
implode	implode
impolite	impolite
impolitely	impolítamente
impolitic	impolítico
importunate	importunate
importune	importune
impose	impoñer
imposers	imponentes
imposing	impoñendo
imposition	imposición
impossible	imposible
impossiblity	imposiblidade
impossibly	imposible
impotent	impotente
impoverish	empobrecemento
impoverished	empobrecido
impractical	impráctico
imprecate	imprecado
imprecise	impreciso
imprecisely	imprecisamente
imprecision	imprecisión
imprison	prisión
imprisonment	prisión
improbability	improbabilidade
improbable	improbable
improbably	improbablemente
improper	incorrecto
improperly	incorrectamente
impropriety	impropiedade
imprudence	imprudencia
imprudent	imprudente
impudence	impudencia
impudent	impudente
impudently	impudentemente
impugn	impugnar
impulsive	impulsivo
impulsively	impulsivamente
impunity	impunidade
impure	impuro
impurity	impureza
inability	incapacidade
inaccuracies	inexactitudes
inaccuracy	inexactitude
inaccurate	inexacto
inaccurately	inexacto
inaction	inacción
inactive	inactivo
inadequacy	inadecuación
inadequate	inadecuado
inadequately	inadecuadamente
inadverent	inadvertido
inadverently	inadvertidamente
inadvisable	desaconsellable
inadvisably	inadecuadamente
inane	inano
inanely	inanemente
inappropriate	inapropiado
inappropriately	inadecuadamente
inapt	inapt
inaptitude	inaptitude
inarticulate	inarticulado
inattentive	inatente
inaudible	inaudible
incapable	incapaz
incapably	incapaz
incautious	incauta
incendiary	incendiario
incense	incienso
incessant	incesante
incessantly	incesantemente
incite	incitar
incitement	incitación
incivility	incividade
inclement	inclemente
incognizant	incognizante
incoherence	incoherencia
incoherent	incoherente
incoherently	incoherentemente
incommensurate	inconmensurable
incomparable	incomparable
incomparably	incomparablemente
incompatability	incompatibilidade
incompatibility	incompatibilidade
incompatible	incompatible
incompetence	incompetencia
incompetent	incompetente
incompetently	incompetente
incomplete	incompleto
incompliant	incompleto
incomprehensible	incomprensible
incomprehension	incomprensión
inconceivable	inconcibible
inconceivably	inconcebiblemente
incongruous	incongruente
incongruously	incongruentemente
inconsequent	inconsecuentes
inconsequential	inconsecuente
inconsequentially	inconsecuentemente
inconsequently	inconsecuentemente
inconsiderate	inconsiderar
inconsiderately	inquisitivamente
inconsistence	inconsistencia
inconsistencies	inconsistencias
inconsistency	inconsistencia
inconsistent	inconsistente
inconsolable	inconsolable
inconsolably	inconsolablemente
inconstant	inconstant
inconvenience	inconveniente
inconveniently	inconveniente
incorrect	incorrecto
incorrectly	incorrectamente
incorrigible	incorregible
incorrigibly	incorrigible
incredulous	incrédulo
incredulously	incrédulo
inculcate	inculcar
indecency	indecencia
indecent	indecente
indecently	indecentemente
indecision	indecisión
indecisive	indeciso
indecisively	indecisos
indecorum	indecorum
indefensible	indefensible
indelicate	indelicado
indeterminable	indeterminável
indeterminably	indeterminabelmente
indeterminate	indeterminado
indifference	indiferenza
indifferent	indiferente
indigent	indigente
indignant	indignado
indignantly	indignado
indignation	indignación
indignity	indignidade
indiscernible	indiscernible
indiscreet	indiscreto
indiscreetly	indiscreto
indiscretion	indiscreción
indiscriminate	indiscriminada
indiscriminately	indiscriminadamente
indiscriminating	indiscriminado
indistinguishable	indistinguível
indoctrinate	adoctrinar
indoctrination	adoctrinación
indolent	indolente
indulge	entrar
ineffective	ineficaz
ineffectively	ineficazmente
ineffectiveness	ineficacia
ineffectual	ineficaz
ineffectually	ineficazmente
ineffectualness	ineficacia
inefficacious	ineficaz
inefficacy	ineficacia
inefficiency	ineficiencia
inefficient	ineficiente
inefficiently	ineficientemente
inelegance	inelegance
inelegant	inelegante
ineligible	inelegíbel
ineloquent	inelucente
ineloquently	inelucente
inept	inepto
ineptitude	ineptitude
ineptly	inepto
inequalities	desigualdades
inequality	desigualdade
inequitable	inequitativo
inequitably	inequívocamente
inequities	desigualdades
inescapable	ineludible
inescapably	ineludiblemente
inessential	inesencial
inevitable	inevitable
inevitably	inevitablemente
inexcusable	inexcusable
inexcusably	inexcusablemente
inexorable	inexorable
inexorably	inexorablemente
inexperience	inexperiencia
inexperienced	inexperto
inexpert	inexperto
inexpertly	inexperto
inexpiable	inexpiable
inexplainable	inexplicable
inextricable	inextricable
inextricably	inextricablemente
infamous	infame
infamously	infamous
infamy	infamia
infected	infectados
infection	infección
infections	infeccións
inferior	inferior
inferiority	inferioridade
infernal	infernal
infest	infestar
infested	infestados
infidel	infiel
infidels	infieles
infiltrator	infiltrado
infiltrators	infiltrados
infirm	enfermos
inflame	inflamar
inflammation	inflamación
inflammatory	inflamatorio
inflammed	inflamado
inflated	inflado
inflationary	inflacionista
inflexible	inflexible
inflict	infligir
infraction	infracción
infringe	infrinxir
infringement	infracción
infringements	infraccións
infuriate	enfurecer
infuriated	enfurecido
infuriating	infuriante
infuriatingly	infuriado
inglorious	inglorious
ingrate	ingrate
ingratitude	ingratitude
inhibit	inhibir
inhibition	inhibición
inhospitable	inhóspito
inhospitality	inhospitalidade
inhuman	inhumanos
inhumane	inhumano
inhumanity	inhumanidade
inimical	inimical
inimically	inimicalmente
iniquitous	inicuo
iniquity	iniquidade
injudicious	incómodo
injure	ferir
injurious	dañosa
injury	lesión
injustice	inxustiza
injustices	inxustizas
innuendo	insinuación
inoperable	inoperable
inopportune	inoportuno
inordinate	desordenado
inordinately	inordinadamente
insane	insano
insanely	insanamente
insanity	tolemia
insatiable	insaciable
insecure	inseguro
insecurity	inseguridade
insensible	insensible
insensitive	insensible
insensitively	insensiblemente
insensitivity	insensibilidade
insidious	insidioso
insidiously	insidiosamente
insignificance	insignificancia
insignificant	insignificante
insignificantly	insignificante
insincere	insincere
insincerely	insincerely
insincerity	insinceridade
insinuate	insinuar
insinuating	insinuando
insinuation	insinuación
insociable	insociable
insolence	insolencia
insolent	insolente
insolently	insolentemente
insolvent	insolvente
insouciance	insouciance
instability	inestabilidade
instable	inestable
instigate	instigar
instigator	instigador
instigators	instigadores
insubordinate	insubordinado
insubstantial	insustancial
insubstantially	inexorablemente
insufferable	insoportable
insufferably	insufriblemente
insufficiency	insuficiencia
insufficient	insuficiente
insufficiently	insuficiente
insular	insular
insult	insulto
insulted	insultado
insulting	insultante
insultingly	insultante
insults	insultos
insupportable	insoportable
insupportably	insoportablemente
insurmountable	insuperable
insurmountably	insuperablemente
insurrection	insurrección
intefere	intefere
inteferes	inteferes
intense	intenso
interfere	interferir
interference	interferencia
interferes	interfire
intermittent	intermitente
interrupt	interromper
interruption	interrupción
interruptions	interrupcións
intimidate	intimidar
intimidating	intimidante
intimidatingly	intimidante
intimidation	intimidación
intolerable	intolerable
intolerablely	intolerable
intolerance	intolerancia
intoxicate	intoxicar
intractable	intratable
intransigence	intransixencia
intransigent	intransixente
intrude	intrude
intrusion	intrusión
intrusive	intrusivo
inundate	inundar
inundated	inundado
invader	invasor
invalidate	invalidar
invalidity	invalidez
invasive	invasivo
invective	invectiva
inveigle	inveigle
invidious	invicto
invidiously	invidioso
invidiousness	invidencia
invisible	invisible
involuntarily	involuntariamente
involuntary	involuntaria
irascible	irascible
irate	irar
irately	iratismo
ire	ire
irk	Irk
irked	irked
irking	irking
irks	irks
irksome	irritante
irksomely	irksomely
irksomeness	irksomeness
irksomenesses	irksomenesses
ironic	irónico
ironical	irónico
ironically	irónicamente
ironies	ironías
irony	ironía
irragularity	irragularidade
irrational	irracional
irrationalities	irracionalidades
irrationality	irracionalidade
irrationally	irracionalmente
irrationals	irracionales
irreconcilable	irreconciliable
irrecoverable	irrecuperável
irrecoverableness	irrecuperabilidade
irrecoverablenesses	irrecuperables
irrecoverably	irrecuperablemente
irredeemable	irredível
irredeemably	irremediablemente
irreformable	irreformable
irregular	irregular
irregularity	irregularidade
irrelevance	irrelevante
irrelevant	irrelevante
irreparable	irreparable
irreplacible	irreplacable
irrepressible	irreprimible
irresolute	irresoluto
irresolvable	irresolvable
irresponsible	irresponsable
irresponsibly	irresponsablemente
irretating	irretando
irretrievable	irrecuperable
irreversible	irreversible
irritable	irritable
irritably	irritablemente
irritant	irritante
irritate	irritar
irritated	irritado
irritating	irritante
irritation	irritación
irritations	irritacións
isolate	illar
isolated	aislado
isolation	illamento
issue	asunto
issues	problemas
itch	picor
itching	comezón
itchy	coceira
jabber	jabber
jaded	jaded
jagged	dentados
jam	mermelada
jarring	discordante
jaundiced	ictericia
jealous	celoso
jealously	celosamente
jealousness	celosidade
jealousy	celos
jeer	burlarse
jeering	incómodo
jeeringly	inconsciente
jeers	cabrón
jeopardize	comprometido
jeopardy	perigo
jerk	parvo
jerky	tiritas
jitter	jitter
jitters	nerviosismo
jittery	nervioso
jobless	desemprego
joke	broma
joker	bromista
jolt	sacudida
judder	judder
juddering	xulgando
judders	xulgados
jumpy	salto
junk	lixo
junky	junky
jutter	jutter
jutters	jutters
kaput	kaput
kill	matar
killed	asasinado
killer	asasina
killing	matando
killjoy	killjoy
kills	mata
knave	knave
knife	coitelo
knock	bater
knotted	anudado
kook	kook
kooky	kooky
lack	falta
lackadaisical	faltaadaisical
lacked	faltaba
lackey	faltaey
lackeys	lacayos
lacking	falta
lacks	falta
laconic	lacónico
lag	lag
lagged	atrasado
lagging	atraso
laggy	laggy
lags	atrasos
laid-off	despedido
lambast	lambast
lambaste	lambaste
lame	coxo
lament	lamentar
lamentable	lamentable
lamentably	lamentablemente
languid	lândida
languish	languidecen
languor	languidez
languorous	languidez
languorously	languidamente
lanky	mentirosa
lapse	lapso
lapsed	caducado
lapses	caduca
lascivious	lescivo
latency	latencia
laughable	risible
laughably	risadamente
lawlessness	ilegalidade
layoff	deixar
layoff-happy	despedida-feliz
lazy	preguiceiro
leak	fuga
leakage	fuga
leakages	fugas
leaking	fugas
leaks	fugas
leaky	vley
lech	lech
lecher	lecher
lecherous	lecherous
lechery	lechery
leech	leech
leer	ler
leery	leery
lemon	limón
lengthy	longa
letch	chorar
lethal	letal
lethargic	letargo
lethargy	letargo
lewd	lewd
lewdly	lewdly
lewdness	lewdness
liability	responsabilidade
liable	Responsable
liar	embusteiro
liars	mentirosos
licentious	licencioso
licentiousness	licenzas
lie	mentira
lied	mentir
lier	lier
lies	mentiras
limit	límite
limitation	limitación
limitations	limitacións
limited	limitado
limits	límites
limp	limpo
litigious	litixioso
livid	livid
lividly	lividamente
loath	odio
loathe	odia
loathing	odio
loathsome	repugnante
loathsomely	desagradablemente
lone	solitario
loneliness	soidade
lonely	solitario
loner	solitario
lonesome	solitario
longing	ansia
longingly	ansiosamente
loophole	fenda
loopholes	lagoas
loose	solto
loot	botín
lorn	lorn
lose	perder
loser	perdedor
losers	perdedores
loses	perde
losing	perdendo
loss	perda
losses	perdas
lost	perdido
loud	alto
lousy	pésimo
lovelorn	lovelorn
lowly	humilde
ludicrous	ridículo
lugubrious	lúgubre
lukewarm	tibio
lull	calma
lumpy	flojo
lunatic	lunático
lunaticism	lunaticismo
lurch	lurch
lure	atraer
lurid	aterid
lurk	esconderse
lying	mentir
macabre	macabro
mad	tolo
madden	enojado
maddening	enojado
maddeningly	enojado
madder	madder
madly	locamente
madman	tolo
madness	tolemia
maladjustment	inadaptación
malady	enfermidade
malaise	malestar
malcontent	malcontent
malcontented	malcontentado
maledict	malicia
malevolence	malevolencia
malevolent	malévolo
malevolently	malévolo
malice	malicia
malicious	malicioso
maliciously	maliciosamente
maliciousness	malicia
malign	maligno
malignant	maligno
malodorous	malodoroso
mangle	mangle
mangled	mangled
mangles	mangles
mangling	mangling
mania	mania
maniac	maníaco
maniacal	maníaco
manic	maníaco
manipulate	manipular
manipulation	manipulación
manipulative	manipulador
manipulators	manipuladores
mar	mar
marginal	marxinal
marginally	marginalmente
martyrdom	martirio
mashed	puré
massacre	masacre
massacres	masacres
matte	mate
mawkish	mawkish
mawkishly	malvado
mawkishness	malvado
meager	pobre
meanness	meanness
measly	miserable
meddle	entrometerse
meddlesome	entrometido
mediocre	mediocre
mediocrity	mediocridade
melancholy	melancolía
melodramatic	melodramático
melodramatically	melodramaticamente
meltdown	fusión
menace	ameaza
menacing	amenazante
menacingly	amenazadoramente
mendacious	mendaz
mendacity	mendacity
menial	menial
mess	desorde
messed	desordenado
messes	desorde
messing	desordenado
messy	desordenado
midget	mediodía
miff	miff
militancy	militancia
mirage	espejismo
mire	mire
misalign	desalinear
misaligned	alineados
misaligns	desalineos
misbecome	misbecome
misbecoming	insolente
misbegotten	misbegotten
miscellaneous	diverso
mischief	travesura
mischievous	travieso
mischievously	maliciosamente
miscreant	incomprensible
miscreants	miscreants
miser	avaro
miserable	miserable
miserableness	miserableness
miserably	miserablemente
miseries	miserias
miserly	desgraciado
misery	miseria
misfit	inadaptado
misfortune	desgraza
misgiving	desprezo
misgivings	repugnancia
misguide	desviar
misguided	equivocada
mishandle	mishandle
mishap	accidente
misinterpret	malinterpretar
misjudge	equivocación
mislead	enganar
misleading	engañosa
misleadingly	engañosa
mislike	mislike
mispronounce	mispronounce
mispronounces	maltrato
misrepresent	erroneamente
miss	faltar
missed	perdido
misses	falta
mist	néboa
mistake	erro
mistaken	equivocado
mistakes	erros
mistified	mistificado
mistress	amante
mistrust	desconfianza
mistrustful	desconfiado
mistrustfully	desconfiado
mists	brumas
misunderstanding	malentendido
misunderstandings	malentendidos
misunderstood	incomprendido
moan	queixume
mobster	mafioso
mock	burla
mocked	burlouse
mockeries	burlas
mockery	burla
mocking	burlarse
mockingly	burlonamente
mocks	burlas
molest	molestar
molestation	molestation
monotonous	monótono
monotony	monotonía
monster	monstro
monstrosities	monstruosidades
monstrosity	monstruosidade
monstrous	monstruoso
monstrously	monstruosamente
moody	moody
moot	erro
mope	mope
morbid	mórbido
morbidly	morbosamente
mordant	mordiente
mordantly	mordantemente
moribund	moribundo
moron	parvo
