abound	florerer
fundamentalism	fundamentalisme
funnily	pussig
funny	morsom
furious	rasende
furiously	rasende
fury	raseri
fuss	oppstyr
fussy	masete
futile	nytteløs
futility	nytteløse
gaff	klepp
gainsay	motsi
gall	galle
galling	riving
garbage	søppel
garish	glorete
gasp	gispe
gaudy	glorete
gawk	glaner
genocide	folkemord
ghastly	uhyggelig
gibberish	tøv
gibe	spott
giddy	svimmel
glare	blending
glitch	svikt
gloom	tungsinn
gloomy	dystert
gnawing	nagende
goad	egge
god-awful	forferdelig
goof	tabbe
goon	Fortsett
gossip	sladder
graft	pode
grainy	kornete
grapple	gripe
grate	rist
gravely	alvorlig
greasy	fettete
greed	grådighet
greedy	grådig
grief	sorg
grievance	klagemål
grievances	klager
grieve	sørge
grieving	sørg
grievous	alvorlig
grim	uhyggelig
grimace	grimase
grind	slipe
gripes	irritasjonen
grisly	uhyggelig
gritty	sandete
gross	ekkelt
grossly	grovt
grotesque	grotesk
grouch	grinebiter
grouchy	gretten
groundless	grunn
grouse	rype
growl	knurre
grudge	nag
grudges	nag
grudging	motvillig
grudgingly	motvillig
gruesome	gyselig
gruesomely	grusomt
gruff	barsk
grumble	beklage
grumpily	grettent
grumpy	grinete
guile	svik
guilt	skyld
guilty	skyldig
gullible	godtroende
gutter	grøft
haggard	Haggard
haggle	prute
hairloss	hårtap
halfhearted	halvhjertede
halfheartedly	halvhjertet
hallucinate	hallusinere
hallucination	hallusinasjon
hamper	hemme
hampered	hemmet
handicapped	funksjonshemmet
hang	henge
hangs	henger
haphazard	tilfeldig
hapless	uheldige
harass	trakassere
harassed	trakassert
harasses	trakasserer
harassment	trakassering
harboring	husing
harbors	havner
hardball	Hardball
harden	Harden
hardened	herdet
hardhearted	hardhjertet
hardliners	uforsonlige
hardship	motgang
hardships	vanskeligheter
harm	skade
harmed	skadet
harmful	skadelig
harms	skader
harrow	harve
harsh	harde
harshly	strengt
hasseling	hasse
hassle	bryderi
hassles	problemer
haste	hastverk
hastily	raskt
hasty	forhastet
hate	hat
hated	hatet
hateful	hatsk
hatefully	hatefullt
hatefulness	hatefullhet
hates	Hates
hatred	hat
haughty	hovmodig
haunt	hjemsøke
havoc	ødeleggelse
hazard	fare
hazardous	farlig
haze	tåke
hazy	disig
head-aches	hodesmerter
headache	hodepine
headaches	hodepine
heartbreaker	hjerteknuser
heartbreaking	hjerteknusende
heartless	hjerteløs
heathen	hedning
heavy-handed	hardhendte
heck	pokker
heckle	hekle
hectic	hektisk
hedge	hekk
hedonistic	hedonistiske
heedless	likegyldige
hefty	heftig
hegemony	hegemoni
heinous	grufulle
hell	helvete
hellion	Hellion
helpless	hjelpeløs
helplessly	hjelpeløst
helplessness	hjelpeløshet
heresy	kjetteri
heretic	kjetter
heretical	kjettersk
hesitant	nølende
hideous	skrekkelig
hinder	hindre
hindrance	hindring
hiss	susing
hissed	hveste
hissing	hvesende
hoard	flokk
hoax	bløff
hobble	hinke
hogs	svin
hollow	hul
hopeless	håpløs
hopelessly	håpløst
hopelessness	håpløshet
horrendous	forferdelig
horrible	fryktelig
horrid	vemmelig
horrific	forferdelig
horrified	forskrekket
horrify	forferde
horrifying	forferdelig
hostage	gissel
hostile	fiendtlig
hostilities	fiendtlighetene
hostility	fiendtlighet
hotbeds	veksthus
hothouse	drivhus
hubris	hybris
huckster	høker
hum	nynne
humid	fuktig
humiliate	ydmyke
humiliating	ydmyk
humiliation	ydmykelse
humming	nynning
hurt	skade
hurtful	sårende
hurting	sårer
hypocrisy	Hykleri
hypocrite	hykler
hypocrites	hyklere
hypocritical	hyklersk
hypocritically	hyklersk
hysteria	hysteri
hysterical	hysterisk
hysterically	hysterisk
hysterics	hysteri
idiocy	idioti
idiotic	idiotisk
idiotically	fjollet
idiots	idioter
idle	tomgang
ignoble	gemen
ignominious	forsmedelig
ignorance	uvitenhet
ignorant	uvitende
ignore	overse
ill-fated	skjebnesvangre
ill-favored	stygge
ill-formed	ill-formet
ill-mannered	uoppdragne
ill-natured	ondskapsfull
ill-tempered	Temperaments
ill-treated	mishandlet
ill-treatment	mishandling
ill-usage	mishandling
illegal	ulovlig
illegally	ulovlig
illegitimate	uekte
illicit	ulovlig
illiterate	analfabet
illness	sykdom
illogical	ulogisk
illusion	illusjon
illusions	illusjoner
illusory	illusorisk
imaginary	innbilt
imbalance	ubalanse
immaterial	uvesentlig
immature	umoden
imminence	umiddelbarhet
imminently	hengende
immobilized	immobilisert
immoderate	umåtelig
immodest	ubeskjedne
immoral	umoralsk
immorality	umoral
immovable	ubevegelig
impair	svekke
impaired	hemmet
impasse	uføret
impatience	utålmodighet
impatient	utålmodig
impatiently	utålmodig
impedance	impedans
impede	hindre
impediment	hinder
impending	forestående
impenitent	ubotferdig
imperfect	ufullkommen
imperfection	ufullkommenhet
imperfections	ufullkommenhet
imperfectly	ufullkomment
imperialist	imperialistiske
imperious	bydende
imperiously	bydende
impermissible	utillatelig
impersonal	upersonlig
impertinent	uforskammet
impetuous	fremfusende
impiety	ugudelighet
impinge	hemmende
impious	ugudelig
implacable	uforsonlig
implausible	usannsynlig
implicate	implisere
implication	Implikasjonen
implode	implodere
impolite	uhøflig
importunate	påtrengende
impose	pålegge
imposing	pålegge
imposition	ileggelse
impossible	umulig
impossibly	håpløst
impoverish	fattigere
impoverished	fattig
impractical	upraktisk
imprecise	upresise
imprecisely	upresist
imprecision	unøyaktighet
imprison	fengsle
imprisonment	fengsling
improbability	usannsynlighet
improbable	usannsynlig
improper	upassende
improperly	feil
imprudence	ubetenksomhet
imprudent	uklok
impudence	uforskammethet
impudent	uforskammet
impudently	uforskammet
impulsive	impulsiv
impulsively	impulsivt
impunity	straffrihet
impure	uren
impurity	urenhet
inaccuracies	unøyaktigheter
inaccuracy	unøyaktighet
inaccurate	unøyaktig
inaccurately	unøyaktig
inaction	passivitet
inactive	inaktiv
inadequacy	utilstrekkelighet
inadequate	utilstrekkelig
inadequately	tilside
inadvisable	utilrådelig
inane	tåpelig
inappropriate	upassende
inappropriately	feilaktig
inarticulate	uartikulert
inattentive	uoppmerksom
inaudible	uhørlig
incautious	uforsiktig
incendiary	brannstifter
incense	røkelse
incessant	uopphørlig
incessantly	ustanselig
incite	egge
incitement	tilskyndelse
inclement	dårlig
incoherent	usammenhengende
incoherently	usammenhengende
incomparable	uforlignelige
incomparably	uforlignelig
incompatability	uforlikeligheten
incompatibility	uforlikelighet
incompatible	uforenlig
incompetence	inkompetanse
incompetent	inkompetent
incomplete	ufullstendig
incomprehensible	ubegripelig
inconceivable	utenkelig
inconceivably	ufattelig
incongruous	urimelig
inconsequential	uviktig
inconsiderate	hensynsløs
inconsistencies	uoverensstemmelser
inconsistency	inkonsekvens
inconsistent	inkonsekvent
inconsolable	utrøstelig
inconsolably	utrøstelig
inconvenience	ulempe
inconveniently	ubeleilig
incorrectly	feil
incorrigible	uforbederlig
incorrigibly	uforbederlig
incredulous	tvil
incredulously	vantro
inculcate	innprente
indecency	uanstendighet
indecent	uanstendig
indecision	ubesluttsomhet
indecisive	ubesluttsom
indefensible	uholdbar
indeterminable	ubestemmelig
indeterminate	ubestemt
indifference	likegyldighet
indifferent	likegyldig
indignant	indignert
indignantly	indignert
indignation	indignasjon
indiscreet	ubetenksom
indiscretion	indiskresjon
indiscriminate	kritikkløs
indiscriminately	ukritisk
indistinguishable	utvisket
indoctrinate	indoktrinere
indoctrination	indoktrinering
indolent	lat
indulge	hengi
ineffective	ineffektiv
ineffectively	ineffektivt
ineffectiveness	ineffektivitet
ineffectual	ørkesløshet
inefficiency	ineffektivitet
inefficient	ineffektiv
inefficiently	ineffektivt
inelegant	uelegant
inept	udugelig
inequalities	ulikheter
inequality	ulikhet
inequitable	urettferdig
inequities	ulikheter
inescapable	uunngåelig
inessential	uvesentlig
inevitable	uunngåelig
inevitably	uunngåelig
inexcusable	utilgivelig
inexorable	ubønnhørlige
inexorably	ubønnhørlig
inexperience	uerfarenhet
inexperienced	uerfaren
inexpert	ukyndig
inextricable	uløselig
inextricably	uløselig
infamous	beryktet
infamously	beryktet
infamy	skjensel
infected	infisert
infection	infeksjon
infections	infeksjoner
inferior	mindreverdig
inferiority	underlegenhet
infernal	infernalske
infest	søke
infidel	vantro
infidels	vantro
infiltrator	infiltratør
infiltrators	infiltratører
infirm	uføre
inflammation	betennelse
inflammatory	inflammatorisk
inflated	oppblåst
inflationary	inflasjons
inflexible	ubøyelig
inflict	påføre
infraction	brudd
infringe	overtre
infringement	overtredelse
infringements	overtredelser
infuriated	rasende
infuriating	rasende
inglorious	Inglorious
ingratitude	utakknemlighet
inhibit	hemme
inhibition	hemning
inhospitable	ugjestmilde
inhuman	umenneskelig
inhumanity	umenneskelighet
inimical	fiendtlig
inimically	ugunstig
iniquitous	skammelig
iniquity	urett
injure	skade
injurious	skadelig
injury	skade
injustice	urettferdighet
injustices	urettferdig
innuendo	insinuasjon
inoperable	ubrukelig
inordinate	dreven
insane	sinnsyk
insanely	sinnsykt
insanity	galskap
insatiable	umettelig
insecure	utrygg
insecurity	usikkerhet
insensible	følelsesløs
insensitive	ufølsom
insensitivity	ufølsomhet
insidious	snik
insidiously	snikende
insignificance	ubetydelighet
insignificant	ubetydelig
insignificantly	ubetydelig
insincere	uoppriktig
insincerity	oppriktighet
insinuate	insinuere
insinuating	insinuerer
insinuation	insinuasjon
insolence	frekkhet
insolent	uforskammet
insolently	uforskammet
instability	ustabilitet
instable	ustabil
instigate	iverksette
insubordinate	ulydig
insufferable	utålelig
insufficiency	insuffisiens
insufficient	utilstrekkelig
insufficiently	utilstrekkelig
insular	insulære
insult	fornærmelse
insulted	fornærmet
insulting	fornærmende
insults	fornærmelser
insurmountable	uoverstigelig
insurrection	opprør
intense	intens
interfere	forstyrre
interference	innblanding
interferes	forstyrrer
intermittent	periodisk
interrupt	avbryte
interruption	avbrudd
interruptions	avbrytelser
intimidate	skremme
intimidating	skremmende
intimidation	trusler
intolerable	uutholdelig
intolerance	intoleranse
intoxicate	beruse
intractable	intraktabel
intransigence	uforsonlighet
intrude	trenge
intrusion	inntrenging
intrusive	påtrengende
inundate	svømme
inundated	oversvømt
invader	inntrenger
invalid	ugyldig
invalidate	ugyldig
invalidity	ugyldighet
invasive	invasiv
invective	skjellsord
invisible	usynlig
involuntarily	uvilkårlig
involuntary	ufrivillig
irascible	hissige
irate	rasende
irksome	kjedsommelig
ironic	ironisk
ironically	ironisk
ironies	ironier
irony	ironi
irrational	irrasjonell
irrationality	irrasjonalitet
irrationally	irrasjonelt
irreconcilable	uforsonlig
irrecoverably	ugjenkallelig
irregular	uregelmessig
irregularity	uregelmessighet
irrelevance	irrelevans
irreparable	uopprettelig
irrepressible	ukuelig
irresolute	ubesluttsom
irresponsible	uansvarlig
irresponsibly	uansvarlig
irretrievable	uopprettelig
irritable	irritabel
irritably	irritert
irritant	irritasjons
irritate	irritere
irritated	irritert
irritating	irriterende
irritation	irritasjon
irritations	irritasjoner
isolate	isolere
isolated	isolert
isolation	isolasjon
issue	utgave
issues	problemer
itch	klø
itching	kløe
itchy	kløe
jaded	sløvet
jagged	taggete
jam	syltetøy
jarring	rystende
jaundiced	gulsott
jealous	sjalu
jealously	nidkjært
jealousy	sjalusi
jeer	håne
jeering	spott
jeopardy	fare
jerk	dust
jerky	dustete
jittery	nervøs
job-killing	jobb-drapet
jobless	arbeidsløs
joke	vits
jolt	støt
judder	hakking
juddering	flimmer
jumpy	skvetten
junk	skrot
junky	elendige
junkyard	søppelplass
jutter	Jutter
kill	drepe
killed	drept
killer	morder
killing	drap
kills	dreper
knave	knekt
knife	kniv
knock	slå
knotted	knyttede
kook	Kook
kooky	skrullete
lacked	manglet
lackey	lakei
lackeys	lakeier
lacking	mangler
lackluster	laber
lacks	mangler
laconic	lakonisk
lags	etterslep
laid-off	permitterte
lament	beklage
lamentable	beklagelig
languid	sløv
languish	vansmekte
languor	sløvhetstilstand
languorously	dovent
lanky	hengslete
lapsed	bortfalt
lapses	blundere
lascivious	vellystig
latency	ventetid
laughable	latterlig
laughably	latterlig
laughingstock	vits
lawbreaker	lovbryter
lawbreaking	lovbrudd
lawless	lovløs
lawlessness	lovløshet
layoff	Permittering
layoff-happy	Permittering-happy
lazy	lat
leak	lekke
leakage	lekkasje
leakages	lekkasjer
leaking	lekker
leaks	lekkasjer
leaky	lekk
lech	Lech
lecherous	lidderlig
leech	igle
left-leaning	venstreorienterte
lemon	sitron
lengthy	lengre
lethal	dødelig
lethargic	sløv
lethargy	apati
lewd	utuktig
lewdness	utskeielser
liability	ansvar
liable	ansvarlig
liar	løgner
liars	løgnere
licentious	utsvevende
licentiousness	tøylesløshet
lied	løy
lies	ligger
life-threatening	livstruende
lifeless	livløs
limit	grense
limitation	begrensning
limitations	begrensninger
limited	begrenset
limits	grenser
limp	halte
listless	giddeløs
litigious	saksøkende
livid	Bleik
loath	nødig
loathe	avsky
loathing	avsky
loathsome	motbydelig
loneliness	ensomhet
lonely	ensom
lonesome	ensom
longing	lengsel
longingly	lengsels
loophole	smutthull
loopholes	Smutthull
loose	løs
loot	tyvegods
lorn	Lorn
loser	taper
losers	tapere
loses	taper
loss	tap
losses	tap
lost	tapt
loud	høyt
louder	høyere
lousy	elendig
lovelorn	forlatte
lowly	ydmyk
ludicrous	latterlig
ludicrously	latterlig
lukewarm	lunken
lumpy	klumpete
lunatic	galning
lurch	stikken
lure	lokke
lurid	uhyggelig
lying	liggende
macabre	makaber
mad	gal
maddening	frustrerende
madder	sintere
madman	galning
madness	galskap
maladjustment	mistilpasning
malady	sykdom
malaise	utilpasshet
malevolent	ondskapsfull
malice	ondskapsfullhet
malicious	skadelig
maliciously	skadelig
maliciousness	ondskap
malignant	ondartet
malodorous	illeluktende
maltreatment	mishandling
mangled	lemlestede
mania	mani
maniac	galning
maniacal	maniske
manic	manisk
manipulate	manipulere
manipulation	manipulasjon
manipulative	manipulerende
manipulators	manipulatorer
marginally	marginalt
martyrdom	martyrium
martyrdom-seeking	martyrdom-søkende
mashed	most
massacre	massakre
massacres	massakrer
matte	matt
meager	mager
meaningless	meningsløs
meanness	ondskap
mediocre	middelmådig
mediocrity	middelmådighet
melancholy	melankoli
melodramatic	melodramatisk
meltdown	nedsmelting
menace	trussel
menacing	truende
menacingly	truende
mendacious	løgnaktige
mendacity	løgnaktighet
merciless	nådeløs
mercilessly	nådeløst
mess	rot
messy	rotete
midget	dverg
miff	MIFF
militancy	militante
mindless	tankeløs
mindlessly	klippe
mirage	luftspeiling
mire	myr
misaligned	forskjøvet
misbegotten	stebarn
miscalculate	feilberegner
miscalculation	feilberegninger
miscellaneous	Diverse
mischief	ugagn
mischievous	rampete
misconception	misforståelse
misconceptions	misoppfatninger
miser	gnier
miserable	elendig
miserably	stort
miseries	elendighet
miserly	gjerrige
misery	elendighet
misfit	utilpass
misfortune	ulykke
misguidance	villfarelse
misguide	villede
misguided	villedet
mishap	uhell
misinform	feilinformere
misinformed	feilinformert
misinterpret	feiltolke
misjudgment	feilvurdering
mislead	villede
misleading	villedende
misleadingly	villedende
misreading	feiltolking
misrepresent	feilrepresentere
missed	savnet
misses	målet
misstatement	feilinformasjon
mist	tåke
mistake	feil
mistaken	feil
mistakenly	feilaktig
mistakes	feil
mistress	elskerinne
mistrust	mistillit
mistrustfully	mistenk
mists	tåke
misunderstand	misforstå
misunderstanding	misforståelse
misunderstandings	misforståelser
misunderstood	misforstått
misuse	misbruk
moan	stønn
mobster	gangster
mock	håne
mocked	latterliggjort
mockery	hån
mockingly	hånlig
mocks	spotter
molest	overgripe
molestation	overgrep
monotonous	monotont
monotony	monotonien
monstrosities	uhyrer
monstrosity	uhyrlighet
monstrous	monstrøse
moody	humørsyk
morbid	sykelig
morbidly	sykelig
moribund	døende
moron	idiot
morons	idioter
mortification	mortifikasjon
mortified	forskrekket
mortify	ydmyke
motionless	ubevegelig
mournful	sørgmodig
mournfully	vemodig
muddle	rot
muddy	gjørmete
multi-polarization	multi-polarisering
mundane	dagligdagse
murder	mord
murderer	morder
murderous	morderisk
murky	skummel
muscle-flexing	muskel-flexing
mushy	bløt
musty	muggen
mysterious	mystisk
mysteriously	mystisk
mystery	mysterium
mystify	mystifisere
myth	myte
nag	maser
nagging	griner
naive	naiv
naively	naivt
narrower	smalere
nasty	ekkel
naughty	slem
nauseating	kvalm
naïve	naiv
nebulous	tåkete
needless	unødvendig
needlessly	unødvendig
needy	trengende
negate	negere
negation	negasjon
negative	negativ
negatives	negativer
negativity	negativitet
neglect	forsømmelse
neglected	forsømt
negligence	forsømmelse
negligent	forsømmelig
nepotism	nepotisme
nervous	nervøs
nervously	nervøst
nervousness	nervøsitet
nettle	brennesle
neurotic	nevrotiske
niggles	småfeil
nightmare	mareritt
nightmarish	mareritt
nitpicking	småflikking
noise	bråk
noises	lyder
noisier	støy
noisy	støyende
non-confidence	non-tillit
nonexistent	ikke-eksisterende
nonsense	tull
nosey	nysgjerrig
notorious	notorisk
notoriously	notorisk
noxious	skadelig
nuisance	plage
numb	nummen
obese	overvektige
object	gjenstand
objection	innvending
objectionable	støtende
objections	innvendinger
oblique	skrå
obliterate	utslette
obliterated	utslettet
oblivious	uvitende
obscene	obskøn
obscenely	uanstendig
obscenity	obskønitet
obscure	obskur
obscured	skjult
obscures	tilslører
obscurity	uklarhet
obsess	besette
obsessively	besatt
obsessiveness	obsessivitet
obsolete	foreldet
obstacle	hindring
obstinate	sta
obstinately	hårdnakket
obstruct	blokkere
obstructed	hindret
obstructing	hinder
obstruction	hindring
obstructs	hindrer
obtrusive	påtrengende
obtuse	stumpe
occlude	tilstoppe
occluded	okkludert
occludes	tilstopper
occluding	okkluderende
odd	merkelig
oddest	rareste
oddities	rariteter
oddity	særhet
oddly	merkelig
odor	lukt
offence	fornærmelse
offend	fornærme
offender	lovbryteren
offending	uakseptable
offenses	lovbrudd
offensive	støtende
offensively	offensivt
offensiveness	offensive
ominous	illevarslende
ominously	faretruende
omission	unnlatelse
omit	utelate
one-sided	ensidig
onerous	tyngende
opinionated	sta
opponent	motstander
opportunistic	opportunistisk
oppose	motsette
opposition	motstand
oppositions	motsetninger
oppress	undertrykke
oppression	undertrykkelse
oppressive	undertrykkende
oppressively	trykkende
oppressors	undertrykkere
ordeal	ildprøve
orphan	foreldreløs
outbreak	utbrudd
outburst	utbrudd
outbursts	utbrudd
outcast	utstøtt
outcry	ramaskrik
outlaw	fredløs
outmoded	utrangerte
outrage	raseri
outraged	rasende
outrageous	opprør
outrageously	vanvittig
over-acted	over-handlet
over-awe	over-ærefrykt
over-balanced	over-balansert
over-priced	overprisede
over-valuation	over-verdivurdering
overacted	overspilte
overbalance	balanse
overbalanced	balansert
overbearing	nedlatende
overbearingly	Bully
overdo	drive
overdone	overdrevet
overdue	forfalt
overemphasize	drive
overheat	overopphetes
overkill	kill
overloaded	belastet
overlook	overse
overpaid	betalte
overplay	play
overpower	overmakten
overpriced	priset
overrated	overvurdert
overreach	overvurder
overrun	kjørt
overshadow	skygge
oversight	forglemmelse
oversights	forglemmelser
oversimplification	forenkling
oversimplified	unyansert
oversimplify	overforenkle
oversize	size
overstate	drive
overstated	tydelig
overstatement	overdriv
overstates	overdriver
overthrow	styrte
overthrows	utslagene
overturn	velte
overweight	overvekt
overwhelm	overvelde
overwhelmed	overveldet
overwhelming	overveldende
overwhelmingly	overveldende
overwhelms	overvelder
overzealous	ivrig
pain	smerte
painful	smertefull
painfully	smertefullt
pains	smerter
pale	blek
pales	blekner
paltry	ussel
pan	panne
pander	frir
panders	småplatene
panic	panikk
panicking	panikk
panicky	panikk
paradoxical	paradoksale
paradoxically	paradoksalt
paralyzed	lammet
parasite	parasitt
pariah	paria
parody	parodi
partiality	partiskhet
partisans	partisaner
passive	passiv
passiveness	passive
pathetic	patetisk
pathetically	patetisk
patronize	nedlatende
paucity	sparsomme
pauper	fattiglem
paupers	fattiglemmer
payback	Payback
peculiar	merkelig
peculiarly	besynderlig
pedantic	pedantisk
peeled	skrellet
peevishly	grettent
penalize	straffe
penalty	straff
perfunctory	overfladisk
peril	Peril
perilous	farefull
perish	omkomme
pernicious	pernisiøs
perplex	Perplex
perplexed	rådvill
perplexing	forvirrende
perplexity	forvirring
persecute	forfølge
persecution	forfølgelse
perturb	forurolige
perturbed	opprørt
pervasive	gripende
perversion	perversjon
perversity	perversitet
pervert	pervers
perverted	pervertert
perverts	perverse
pessimism	pessimisme
pessimistic	pessimistisk
pessimistically	pessimistisk
pest	skadedyr
pestilent	pest
petrified	forsteinet
petty	smålig
phobia	fobi
phobic	fobiske
phony	falsk
picketing	vakter
pickets	spissede
picky	kresen
pig	gris
pigs	griser
pillage	plyndring
pillory	gapestokken
pimple	Kvise
pinch	klype
pitiable	ynkelig
pitiful	ynkelig
pitifully	ynkelig
pitilessly	ubarmhjertig
pittance	luselønn
pity	medlidenhet
plagiarize	plagiere
plague	pest
plasticky	plastikk
plaything	leketøy
plea	bønn
plot	plott
plotters	plottere
ploy	knep
plunder	plyndre
plunderer	plyndrer
pointless	meningsløst
poison	gift
poisonous	giftig
polarisation	polarisering
pollute	forurense
polluter	forurenseren
polluters	forurensere
polution	forurensning
pompous	pompøs
poor	dårlig
poorer	dårligere
poorest	fattigste
poorly	dårlig
posturing	posering
pout	surmule
poverty	fattigdom
powerless	maktesløs
prattle	skravling
precarious	prekær
precipitate	utfelles
precipitous	stup
predatory	rov
predicament	knipe
prejudice	fordommer
prejudices	fordommer
prejudicial	skadelig
premeditated	lagt
preposterous	absurd
presumptuous	arrogant
presumptuously	dristet
pretence	påskudd
pretense	påskudd
pretentious	pretensiøs
pricey	kostbar
pricier	dyrere
prick	stikk
prickle	pigg
prickles	pigger
prideful	stolt
primitive	primitiv
prison	fengsel
prisoner	fange
problematic	problema
problems	problemer
procrastinate	utsette
procrastination	utsettelse
profanity	banning
prohibit	forby
prohibitive	uoverkommelige
prohibitively	uoverkommelig
propagandize	propagandere
proprietary	proprietær
prosecute	tiltale
protested	protest
protesting	protesterer
protests	protester
protracted	langvarig
provocation	provokasjon
provocative	provoserende
provoke	provosere
pry	lirke
pugnacious	strid
pugnaciously	stridslysten
punch	punsj
punish	straffe
punishable	straffes
punitive	straff
puny	ynkelig
puppet	dukketeater
puppets	marion
puzzled	rådvill
puzzlement	puzzle
puzzling	gåtefullt
quack	kvakk
qualms	betenkeligheter
quandary	dilemma
quarrel	krangle
quarrels	krangler
quarrelsome	kranglevoren
quash	oppheve
questionable	tvilsom
quibble	uenighet
quibbles	småplukk
rabid	rabiat
racism	Rasisme
racist	rasist
racists	rasister
radical	radikal
radicalization	radikalisering
radically	radikalt
radicals	radikaler
rage	raseri
ragged	fillete
raging	rasende
rail	skinne
raked	raket
rampant	tøylesløs
ramshackle	falleferdig
randomly	tilfeldig
rankle	nage
rant	tirade
rape	voldtekt
raped	voldtatt
raping	voldta
rascal	rakker
rash	utslett
rattle	skrangle
rattled	raslet
rattles	rangler
ravage	herje
reactionary	reaksjonær
rebellious	opprørsk
rebuff	avslag
rebuke	irettesettelse
recalcitrant	trassig
recession	resesjon
reckless	uforsvarlig
recklessly	uvørent
recklessness	hensynsløshet
recoil	rekyl
recourses	resurser
redundancy	overflødighet
redundant	overflødig
refusal	avslag
refuse	nekte
refused	nektet
refuses	nekter
refusing	nekter
refutation	imøtegåelse
refute	tilbakevise
refuted	tilbakevist
refutes	forkaster
refuting	motsier
regression	regresjon
regret	angre
regretful	angrende
regretfully	beklagende
regrets	angrer
regrettable	beklagelig
regrettably	beklageligvis
regretted	angret
reject	avvise
rejected	avvist
rejecting	avvise
rejection	avvisning
rejects	avviser
relapse	tilbakefall
relentless	nådeløse
relentlessly	ubønnhørlig
reluctance	motvilje
reluctant	motvillige
reluctantly	motvillig
remorse	samvittighetsnag
remorseful	angrende
remorsefully	anger
remorseless	ubarmhjertige
renunciation	forsakelse
repetitive	repeterende
reprehensible	forkastelig
reprehensibly	klanderverdig
repress	undertrykke
repression	undertrykkelse
repressive	undertrykkende
reprimand	reprimande
reproach	bebreidelse
reproachful	bebreidende
reprove	refs
reprovingly	bebreidende
repudiate	forkaste
repugnance	motvilje
repugnant	frastøtende
repulse	Repulse
repulsed	frastøtt
repulsing	avvisende
repulsive	frastøtende
resent	mislike
resentful	ergerlig
resentment	harme
resignation	oppsigelse
resistance	motstand
restless	rastløs
restlessness	rastløshet
restrict	begrense
restricted	begrenset
restriction	begrensning
restrictive	restriktiv
resurgent	gjenoppvåknende
retaliate	gjengjelde
retaliatory	gjengjeldelses
retard	tilbakestående
retarded	tilbakestående
reticent	tilbakeholden
retreat	retrett
revenge	hevn
revengeful	hevngjerrig
revengefully	hevn
revert	tilbake
revile	spotter
reviled	utskjelt
revoke	tilbakekalle
revolt	opprør
revolting	frastøtende
revulsion	avsky
rhetoric	retorisk
rhetorical	retorisk
ridicule	latterlig
ridicules	latterliggjør
ridiculous	latterlig
ridiculously	latterlig
rife	florerer
rifts	rifter
rigid	ubøyelig
rigidity	stivhet
riled	hisset
rip-off	svindel
ripoff	svindel
ripped	dratt
risk	Fare
risks	risikoer
risky	risikabelt
rivalry	rivalisering
roadblocks	veisperringer
rocky	steinete
rollercoaster	Berg-og-dal-bane
rot	råtne
rotten	råtten
rough	ujevn
rubbish	søppel
rude	uhøflig
ruffian	bølle
ruined	ruinert
ruining	ødelegger
ruinous	ødeleggende
ruins	ruiner
rumbling	buldrende
rumor	rykte
rumors	rykter
rumours	rykter
rupture	ruptur
rusts	ruster
rusty	rusten
rut	brunst
ruthless	hensynsløs
ruthlessly	hensynsløst
ruthlessness	hensynsløshet
ruts	hjulspor
sabotage	sabotasje
sack	sekk
sacrificed	ofret
sadden	bedrøvet
sadly	dessverre
sadness	tristhet
sagged	sigende
salacious	slibrig
sanctimonious	skinnhellig
sap	sevje
sarcasm	sarkasme
sarcastic	sarkastisk
sarcastically	spydig
sardonic	sardonisk
satirical	satirisk
savage	villmann
savagery	villskap
savages	villmenn
scaly	skjell
scam	svindel
scams	svindel
scandal	skandale
scandalize	forarge
scandalized	forarget
scandalous	skandaløs
scandalously	skandaløst
scandals	skandalene
scandel	Scandel
scant	snaut
scapegoat	syndebukk
scar	arr
scarce	knapp
scarcely	knapt
scarcity	knapphet
scare	skremme
scared	redd
scarier	skremmende
scariest	skumleste
scarily	skremmende
scarred	merket
scars	arr
scary	skummelt
scathing	bitende
sceptical	skeptisk
scoff	spotter
scold	skjenne
scolded	skjente
scolding	skjenn
scorching	glohet
scorn	forakt
scornful	hånlig
scornfully	hånlig
scoundrel	kjeltring
scourge	svøpe
scowl	skuler
scrambled	egge
scrambles	forvrenges
scrap	skrap
scratch	ripe
scratched	riper
scratches	riper
scratchy	skrapete
scream	hyle
screech	hvin
screwed	skrudd
screwed-up	feilet
scuffs	skraper
scum	avskum
second-tier	sekund-lags
secretive	hemmelighetsfull
sedentary	stillesittende
seedy	lurvete
seethe	syde
seething	sydende
self-coup	self-kuppet
self-criticism	selvkritikk
self-defeating	selvødeleggende
self-destructive	selvdestruktiv
self-humiliation	self-ydmykelse
self-interest	egeninteresse
self-interested	egeninteresse
self-serving	egoistiske
selfish	selvopptatt
selfishly	egoistisk
selfishness	egoisme
semi-retarded	semi-tilbakestående
senile	senil
senseless	meningsløs
seriousness	alvoret
servitude	trelldom
setback	tilbakeslag
setbacks	tilbakeslag
severe	alvorlig
severity	alvorlighetsgrad
shabby	loslitt
shadowy	skygge
shady	skygge
shake	riste
shaky	skjelvende
shallow	grunt
shame	skam
shameful	skammelig
shamefully	skammelig
shamefulness	skam
shameless	skamløs
shamelessly	skamløst
shamelessness	skamløshet
shark	hai
sharply	skarpt
shatter	knuse
shipwreck	skipsvrak
shirk	skulke
shit	dritt
shiver	skjelve
shock	sjokk
shocked	sjokkert
shocking	sjokkerende
